server;arrival;start;end;client;class;estimated_proc_time;real_proc_time
0;4;4.0;10.0;0;25;1.0;6.0
1;4;4.0;19.0;1;27;16.0;15.0
5;4;4.0;5.0;2;7;1.0;1.0
6;6;6.0;29.0;3;24;24.0;23.0
7;6;6.0;33.0;4;7;28.0;27.0
8;6;6.0;34.0;5;25;28.0;28.0
9;6;6.0;14.0;6;28;6.0;8.0
10;8;8.0;13.0;12;27;5.0;5.0
11;8;8.0;13.0;9;23;2.0;5.0
13;8;8.0;10.0;10;17;3.0;2.0
16;8;8.0;23.0;15;24;15.0;15.0
19;8;8.0;25.0;16;7;16.0;17.0
15;8;8.0;33.0;14;25;25.0;25.0
5;8;8.0;18.0;11;24;10.0;10.0
13;9;10.0;28.0;18;15;18.0;18.0
0;9;10.0;29.0;22;29;21.0;19.0
2;11;11.585036507566965;26.585036507566965;23;0;16.0;15.0
12;11;11.599822473533036;36.59982247353304;26;16;27.0;25.0
18;11;12.982023077816756;26.982023077816756;24;16;16.0;14.0
10;11;13.0;40.0;25;2;29.0;27.0
11;13;13.0;21.0;27;4;9.0;8.0
4;9;14.296155043061633;27.29615504306163;20;29;13.0;12.999999999999998
14;15;15.459633257736503;18.459633257736503;30;17;5.0;3.0
17;15;16.975914111585375;25.975914111585375;29;25;10.0;9.0
5;18;18.0;42.0;37;27;25.0;24.0
14;15;18.459633257736503;22.459633257736503;31;4;6.0;4.0
1;19;19.0;40.0;42;17;24.0;21.0
11;21;21.0;43.0;47;18;24.0;22.0
14;19;22.459633257736503;23.459633257736503;43;29;1.0;1.0
16;17;23.0;38.0;35;9;15.0;15.0
14;17;23.459633257736503;45.4596332577365;34;2;22.0;21.999999999999996
3;21;24.135875706371255;49.13587570637125;50;24;26.0;24.999999999999996
19;19;25.0;41.0;40;18;16.0;16.0
17;18;25.975914111585375;26.975914111585375;39;16;1.0;1.0
2;26;26.585036507566965;43.58503650756697;53;14;18.0;17.000000000000004
17;26;26.975914111585375;51.975914111585375;55;8;25.0;25.0
18;19;26.982023077816756;40.982023077816756;41;25;16.0;14.0
4;26;27.29615504306163;29.29615504306163;57;20;4.0;2.0
13;26;28.0;46.0;59;23;19.0;18.0
6;29;29.0;48.0;66;22;18.0;19.0
0;29;29.0;39.0;69;8;11.0;10.0
4;29;29.29615504306163;53.29615504306163;68;12;22.0;24.0
15;29;33.0;63.0;67;9;29.0;30.0
7;29;33.0;60.0;65;27;24.0;27.0
8;34;34.0;58.0;76;16;24.0;24.0
12;34;36.59982247353304;52.59982247353304;77;27;17.0;16.0
0;34;39.0;57.0;78;20;15.0;18.0
10;37;40.0;46.0;80;27;5.0;6.0
1;37;40.0;64.0;81;19;24.0;24.0
18;33;40.982023077816756;42.982023077816756;73;7;6.0;2.0
19;33;41.0;58.0;74;27;16.0;17.0
5;37;42.0;47.0;82;17;4.0;5.0
18;42;42.982023077816756;61.982023077816756;84;26;18.0;19.0
11;42;43.0;48.0;88;10;6.0;5.0
2;42;43.58503650756697;54.58503650756697;89;24;11.0;11.0
14;43;45.4596332577365;68.4596332577365;90;2;22.0;23.0
10;43;46.0;57.0;91;29;10.0;11.0
5;44;47.0;53.0;94;13;4.0;6.0
11;46;48.0;59.0;95;29;12.0;11.0
6;46;48.0;71.0;96;14;23.0;23.0
3;47;49.13587570637125;75.13587570637125;97;24;26.0;26.0
16;47;49.348138442204046;60.348138442204046;98;29;12.0;11.0
17;50;51.975914111585375;72.97591411158538;101;15;20.0;21.000000000000007
12;49;52.59982247353304;54.59982247353304;99;17;1.0;2.0
5;53;53.0;54.0;112;7;1.0;1.0
4;49;53.29615504306163;59.29615504306163;100;19;8.0;6.0
5;50;54.0;59.0;102;17;4.0;5.0
2;50;54.58503650756697;66.58503650756697;103;26;12.0;12.0
12;54;54.59982247353304;59.59982247353304;116;19;5.0;5.0
10;56;57.0;80.0;123;15;24.0;23.0
0;51;57.0;81.0;106;12;25.0;24.0
19;58;58.0;85.0;124;23;27.0;27.0
8;52;58.0;70.0;107;19;14.0;12.0
11;54;59.0;70.0;114;29;12.0;11.0
5;53;59.0;83.0;110;12;25.0;24.0
4;53;59.29615504306163;79.29615504306163;111;14;18.0;20.0
12;53;59.59982247353304;76.59982247353304;113;20;19.0;17.0
9;54;59.86304746308725;62.86304746308725;117;21;2.0;3.0
7;54;60.0;79.0;118;28;21.0;19.0
16;54;60.348138442204046;87.34813844220405;119;3;28.0;27.0
18;55;61.982023077816756;82.98202307781676;121;22;22.0;21.000000000000007
9;62;62.86304746308725;91.86304746308724;135;0;27.0;28.999999999999993
15;63;63.0;75.0;136;7;13.0;12.0
1;61;64.0;65.0;129;11;1.0;1.0
13;61;64.86823475520681;91.86823475520681;130;25;26.0;27.0
1;61;65.0;66.0;131;11;1.0;1.0
1;63;66.0;67.0;137;25;2.0;1.0
2;43;66.58503650756697;83.58503650756697;93;13;12.0;17.0
1;67;67.0;73.0;139;2;8.0;6.0
11;68;70.0;80.0;144;21;12.0;10.0
8;68;70.0;100.0;142;5;29.0;30.0
6;68;71.0;76.0;141;10;4.0;5.0
17;69;72.97591411158538;100.97591411158538;145;10;29.0;28.0
1;71;73.0;94.0;146;17;24.0;21.0
15;73;75.0;89.0;147;23;15.0;14.0
6;74;76.0;99.0;150;13;25.0;23.0
12;73;76.59982247353304;93.59982247353304;149;3;18.0;17.0
7;76;79.0;84.0;152;10;4.0;5.0
4;76;79.29615504306163;88.29615504306163;153;8;8.0;9.0
10;76;80.0;105.0;154;24;25.0;25.0
11;78;80.0;90.0;155;19;9.0;10.0
0;78;81.0;106.0;156;24;27.0;25.0
18;82;82.98202307781676;105.98202307781676;158;21;20.0;23.0
5;83;83.0;88.0;162;26;7.0;5.0
2;82;83.58503650756697;105.58503650756697;157;22;23.0;22.0
7;82;84.0;99.0;161;0;14.0;15.0
19;85;85.0;88.0;174;5;3.0;3.0
3;84;85.1958348819413;114.1958348819413;172;21;29.0;29.0
16;82;87.34813844220405;96.34813844220405;160;19;10.0;9.0
19;84;88.0;104.0;165;27;16.0;16.0
5;84;88.0;99.0;166;16;13.0;11.0
4;84;88.29615504306163;118.29615504306163;167;2;28.0;30.0
15;84;89.0;119.0;168;9;29.0;30.0
11;90;90.0;103.0;183;29;12.0;13.0
9;91;91.86304746308724;93.86304746308724;186;7;2.0;2.0
13;91;91.86823475520681;93.86823475520681;185;6;6.0;2.0
12;91;93.59982247353304;108.59982247353304;184;25;16.0;15.0
9;84;93.86304746308724;105.86304746308724;169;29;13.0;12.0
13;84;93.86823475520681;112.86823475520681;170;23;19.0;19.0
1;84;94.0;125.0;171;29;28.0;31.0
16;85;96.34813844220405;97.34813844220405;173;7;2.0;1.0
16;85;97.34813844220405;112.34813844220405;176;4;18.0;15.0
5;85;99.0;122.0;177;8;25.0;23.0
6;87;99.0;110.0;178;6;8.0;11.0
7;99;99.0;115.0;193;0;14.0;16.0
8;87;100.0;108.0;180;22;8.0;8.0
17;90;100.97591411158538;125.97591411158538;182;24;24.0;25.0
11;94;103.0;105.0;187;16;2.0;2.0
19;104;104.0;115.0;199;22;12.0;11.0
10;96;105.0;134.0;189;6;29.0;29.0
11;97;105.0;127.0;190;18;24.0;22.0
2;98;105.58503650756697;108.58503650756697;191;21;5.0;3.0
9;99;105.86304746308724;127.86304746308724;194;22;20.0;22.0
