server;arrival;start;end;client;class;estimated_proc_time;real_proc_time
1;0;0.0;31.0;4;21;29.0;31.0
2;0;0.0;14.0;5;1;15.0;14.0
5;0;0.0;8.0;1;10;9.0;8.0
6;0;0.0;14.0;2;4;11.0;14.0
7;0;0.0;8.0;3;6;8.0;8.0
8;0;0.0;19.0;0;16;19.0;19.0
9;2;2.0;31.0;13;12;27.0;29.0
10;2;2.0;8.0;16;17;8.0;6.0
11;2;2.0;14.0;6;14;15.0;12.0
12;2;2.0;16.0;11;27;15.0;14.0
13;2;2.0;18.0;12;10;17.0;16.0
14;2;2.0;28.0;14;16;27.0;26.0
15;2;2.0;15.0;17;24;10.0;13.0
16;2;2.0;31.0;18;5;27.0;29.0
17;2;2.0;28.0;9;6;28.0;26.0
18;2;2.0;12.0;10;23;10.0;10.0
19;2;2.0;14.0;7;7;9.0;12.0
10;7;8.0;14.0;19;29;4.0;6.0
5;2;8.0;12.0;8;20;3.0;4.0
7;10;10.0;33.0;20;7;20.0;23.0
3;10;11.738039633597523;22.738039633597523;22;16;11.0;11.0
0;12;12.0;30.0;25;7;18.0;18.0
18;12;12.0;18.0;24;8;9.0;6.0
5;13;13.0;36.0;28;16;22.0;23.0
10;14;14.0;22.0;32;16;8.0;8.0
11;14;14.0;25.0;33;10;9.0;11.0
19;14;14.0;43.0;31;2;29.0;29.0
2;13;14.0;31.0;29;10;17.0;17.0
6;14;14.0;26.0;30;4;11.0;12.0
15;15;15.0;42.0;35;18;25.0;27.0
4;15;15.496410574644933;21.496410574644933;37;28;7.0;6.0
12;15;16.0;39.0;36;18;23.0;23.0
18;18;18.0;36.0;47;28;24.0;18.0
13;18;18.0;26.0;50;1;8.0;8.0
8;18;19.0;41.0;52;22;22.0;22.0
4;18;21.496410574644933;23.496410574644933;53;7;3.0;2.0
10;22;22.0;36.0;58;1;12.0;14.0
3;22;22.738039633597523;39.73803963359752;59;4;14.0;17.0
4;18;23.496410574644933;47.49641057464493;38;8;25.0;24.0
11;18;25.0;46.0;46;29;22.0;21.0
13;24;26.0;54.0;66;27;29.0;28.0
6;24;26.0;33.0;67;18;4.0;7.0
17;28;28.0;53.0;76;14;24.0;25.0
14;28;28.0;34.0;74;17;5.0;6.0
0;24;30.0;59.0;63;28;29.0;29.0
16;24;31.0;49.0;64;23;19.0;18.0
9;13;31.0;46.0;26;18;16.0;15.0
1;27;31.0;44.0;71;22;14.0;13.0
2;27;31.0;60.0;72;19;28.0;29.0
