server;arrival;start;end;client;class;estimated_proc_time;real_proc_time
0;2;2.0;14.0;0;11;11.0;12.0
2;2;2.0;12.0;1;19;10.0;10.0
3;2;2.0;28.0;2;1;27.0;26.0
4;2;2.0;12.0;3;17;10.0;10.0
5;6;6.0;32.0;8;24;27.0;26.0
7;6;6.0;27.0;9;20;21.0;21.0
8;6;6.0;12.0;6;3;10.0;6.0
9;6;6.0;33.0;7;14;27.0;27.0
10;6;6.0;24.0;5;24;18.0;18.0
11;6;6.0;32.0;4;19;26.0;26.0
18;8;8.0;17.0;11;16;4.0;9.0
19;8;8.0;34.0;10;21;25.0;26.0
13;9;9.0;24.0;16;26;14.0;15.0
15;9;9.0;42.0;14;12;29.0;33.0
17;10;10.524761155076659;11.524761155076659;19;1;3.0;1.0
17;10;11.524761155076659;35.52476115507666;17;10;23.0;24.0
8;10;12.0;27.0;18;0;17.0;15.0
2;9;12.0;43.0;13;8;29.0;31.0
4;9;12.0;29.0;12;20;17.0;17.0
6;13;13.76861988968991;20.76861988968991;20;1;7.0;6.999999999999998
1;15;15.0;18.0;22;22;3.0;3.0
16;15;15.0;31.0;21;11;17.0;16.0
14;16;16.0;35.0;24;0;17.0;19.0
0;16;16.0;35.0;23;3;20.0;19.0
12;17;17.0;27.0;25;25;10.0;10.0
1;21;21.0;33.0;27;7;10.0;12.0
6;21;21.0;23.0;26;28;2.0;2.0
18;21;21.0;27.0;28;8;7.0;6.0
6;23;23.0;32.0;34;10;8.0;9.0
13;23;24.0;37.0;33;21;13.0;13.0
10;23;24.0;38.0;36;1;12.0;14.0
12;26;27.0;36.0;39;13;8.0;9.0
18;26;27.0;55.0;40;19;28.0;28.0
8;26;27.0;47.0;41;2;20.0;20.0
7;23;27.0;36.0;37;5;11.0;9.0
3;28;28.0;48.0;44;26;23.0;20.0
4;28;29.0;32.0;45;15;5.0;3.0
16;31;31.0;43.0;46;9;11.0;12.0
6;31;32.0;53.0;47;21;22.0;21.0
11;32;32.0;59.0;48;19;26.0;27.0
5;26;32.0;52.0;38;20;22.0;20.0
4;28;32.0;50.0;42;20;17.0;18.0
1;33;33.0;35.0;50;28;2.0;2.0
9;33;33.0;37.0;49;27;3.0;4.0
19;33;34.0;54.0;51;3;21.0;20.0
1;23;35.0;39.0;32;28;2.0;4.0
14;23;35.0;60.0;35;12;26.0;25.0
0;35;35.0;41.0;52;27;7.0;6.0
17;23;35.52476115507666;56.52476115507666;31;16;21.0;21.0
12;36;36.0;41.0;56;10;4.0;5.0
7;36;36.0;47.0;54;19;12.0;11.0
13;36;37.0;52.0;55;23;16.0;15.0
9;37;37.0;41.0;57;9;2.0;4.0
10;36;38.0;41.0;53;6;2.0;3.0
1;39;39.0;53.0;58;7;10.0;14.0
12;40;41.0;62.0;59;29;20.0;21.0
9;41;41.0;65.0;62;29;25.0;24.0
10;40;41.0;61.0;61;24;18.0;20.0
0;40;41.0;55.0;60;19;16.0;14.0
15;42;42.0;64.0;63;19;22.0;22.0
16;45;45.0;50.0;65;20;5.0;5.0
2;45;45.0;66.0;64;12;22.0;21.0
8;47;47.0;74.0;69;4;27.0;27.0
7;47;47.0;53.0;68;8;6.0;6.0
3;48;48.0;72.0;75;17;24.0;24.0
16;49;50.0;61.0;82;9;11.0;11.0
4;48;50.0;68.0;76;2;22.0;18.0
13;51;52.0;62.0;92;12;10.0;10.0
5;52;52.0;76.0;98;10;24.0;24.0
1;51;53.0;76.0;93;13;25.0;23.0
6;52;53.0;73.0;95;18;20.0;20.0
7;52;53.0;81.0;97;7;29.0;28.0
19;52;54.0;74.0;99;29;21.0;20.0
18;51;55.0;71.0;91;25;16.0;16.0
17;48;56.52476115507666;77.52476115507666;73;7;18.0;21.0
14;50;60.0;73.0;88;6;12.0;13.0
16;61;61.0;67.0;107;0;5.0;6.0
10;61;61.0;77.0;106;24;18.0;16.0
12;54;62.0;64.0;100;5;2.0;2.0
13;49;62.0;76.0;86;0;14.0;14.0
12;62;64.0;81.0;109;27;17.0;17.0
9;64;65.0;67.0;117;9;2.0;2.0
0;64;65.11226260757456;72.11226260757456;118;9;5.0;7.0
2;63;66.0;96.0;116;17;29.0;30.0
16;67;67.0;72.0;126;20;5.0;5.0
9;64;67.0;74.0;121;18;5.0;7.0
4;65;68.0;75.0;123;12;7.0;7.0
11;70;70.52423088208066;77.52423088208066;140;18;8.0;7.0
18;63;71.0;78.0;113;20;8.0;7.0
16;70;72.0;102.0;139;21;29.0;30.0
3;68;72.0;79.0;128;16;7.0;7.0
0;68;72.11226260757456;96.11226260757456;129;16;26.0;24.0
14;72;73.0;95.0;152;2;23.0;22.0
6;68;73.0;89.0;131;24;19.0;16.0
19;74;74.0;86.0;155;11;12.0;12.0
8;69;74.0;80.0;132;15;5.0;6.0
9;69;74.0;97.0;133;26;23.0;23.0
4;70;75.0;82.0;138;21;7.0;7.0
1;69;76.0;80.0;134;4;4.0;4.0
13;70;76.0;86.0;141;12;10.0;10.0
5;70;76.0;97.0;142;5;20.0;21.0
10;70;77.0;89.0;143;4;12.0;12.0
11;72;77.52423088208066;89.52423088208066;145;24;11.0;12.0
17;72;77.52476115507666;89.52476115507666;146;4;11.0;12.0
18;72;78.0;86.0;148;20;8.0;8.0
3;79;79.0;101.0;156;21;21.0;22.0
1;80;80.0;89.0;158;2;10.0;9.0
8;72;80.0;88.0;150;7;8.0;8.0
12;72;81.0;87.0;151;11;5.0;6.0
7;72;81.0;97.0;153;22;16.0;16.0
4;74;82.0;86.0;154;5;3.0;4.0
18;86;86.0;97.0;177;0;12.0;11.0
13;81;86.0;115.0;160;9;29.0;29.0
19;83;86.0;92.0;164;12;7.0;6.0
4;85;86.0;109.0;174;14;22.0;23.0
12;87;87.0;109.0;180;19;22.0;22.0
8;83;88.0;113.0;165;8;27.0;25.0
1;89;89.0;94.0;185;22;3.0;5.0
6;86;89.0;100.0;176;29;10.0;11.0
10;84;89.0;105.0;166;11;14.0;16.0
11;81;89.52423088208066;114.52423088208066;162;26;26.0;25.0
17;85;89.52476115507666;111.52476115507666;168;22;21.0;22.0
19;90;92.0;101.0;186;27;9.0;9.0
1;87;94.0;103.0;181;2;10.0;9.0
14;85;95.0;104.0;173;4;10.0;9.0
2;85;96.0;103.0;175;20;10.0;7.0
0;86;96.11226260757456;112.11226260757456;178;1;18.0;16.0
18;97;97.0;118.0;189;12;22.0;21.0
9;89;97.0;117.0;183;20;21.0;20.0
5;89;97.0;112.0;184;26;15.0;15.0
7;94;97.0;112.0;187;22;16.0;15.0
6;100;100.0;118.0;196;23;16.0;18.0
19;100;101.0;129.0;194;17;29.0;28.0
3;101;101.0;121.0;214;19;18.0;20.0
16;101;102.0;104.0;204;18;4.0;2.0
1;100;103.0;117.0;193;26;15.0;14.0
2;100;103.0;109.0;195;28;7.0;6.0
16;101;104.0;109.0;211;19;6.0;5.0
14;100;104.0;131.0;197;10;29.0;27.0
10;100;105.0;134.0;198;10;25.0;29.0
16;106;109.0;135.0;223;21;29.0;26.0
12;97;109.0;119.0;188;3;10.0;10.0
2;107;109.0;141.0;230;8;29.0;32.0
4;108;109.0;126.0;238;7;16.0;17.0
17;109;111.52476115507666;123.52476115507666;241;5;12.0;12.0
5;101;112.0;117.0;213;0;5.0;5.0
7;108;112.0;118.0;239;23;5.0;6.0
0;112;112.11226260757456;115.11226260757456;245;24;1.0;3.0
8;108;113.0;132.0;237;1;20.0;19.0
11;100;114.52423088208066;143.52423088208064;199;9;28.0;28.999999999999986
13;101;115.0;134.0;209;7;18.0;19.0
0;101;115.11226260757456;116.11226260757456;212;14;1.0;1.0
0;115;116.11226260757456;117.11226260757456;250;14;1.0;1.0
1;117;117.0;120.0;260;22;3.0;3.0
9;106;117.0;124.0;222;6;9.0;7.0
0;106;117.11226260757456;138.11226260757456;225;4;21.0;21.0
6;115;118.0;144.0;253;14;24.0;26.0
18;108;118.0;128.0;240;0;12.0;10.0
7;111;118.0;133.0;242;10;16.0;15.0
12;119;119.0;138.0;268;20;18.0;19.0
1;119;120.0;132.0;269;3;13.0;12.0
3;119;121.0;142.0;270;28;22.0;21.0
17;119;123.52476115507666;143.52476115507665;266;10;23.0;19.999999999999986
9;106;124.0;145.0;228;26;23.0;21.0
4;117;126.0;148.0;258;6;19.0;22.0
18;108;128.0;139.0;235;9;11.0;11.0
19;115;129.0;137.0;254;12;7.0;8.0
14;118;131.0;145.0;265;3;15.0;14.0
1;129;132.0;147.0;279;26;15.0;15.0
8;115;132.0;140.0;252;17;8.0;8.0
15;123;132.55775295991396;155.55775295991396;271;28;24.0;23.0
13;129;134.0;149.0;278;26;14.0;15.0
10;134;134.0;143.0;283;22;11.0;9.0
16;117;135.0;136.0;261;14;1.0;1.0
16;117;136.0;137.0;262;10;4.0;1.0
16;107;137.0;157.0;234;22;20.0;20.0
19;108;137.0;152.0;236;2;15.0;15.0
12;114;138.0;145.0;247;22;5.0;7.0
0;115;138.11226260757456;152.11226260757456;248;2;16.0;14.0
18;115;139.0;150.0;251;0;12.0;11.0
8;116;140.0;149.0;256;3;10.0;9.0
2;117;141.0;147.0;257;24;9.0;6.0
3;134;142.0;163.0;285;28;22.0;21.0
10;118;143.0;150.0;264;14;5.0;7.0
11;126;143.52423088208064;144.52423088208064;272;13;1.0;1.0
17;126;143.52476115507665;162.52476115507665;273;22;21.0;19.0
6;126;144.0;172.0;275;9;29.0;28.0
11;126;144.52423088208064;172.52423088208064;276;4;27.0;28.0
12;145;145.0;166.0;294;16;21.0;21.0
14;128;145.0;160.0;277;24;15.0;15.0
9;130;145.0;167.0;280;0;22.0;22.0
1;146;147.0;175.0;297;18;26.0;28.0
2;132;147.0;149.0;282;14;3.0;2.0
4;146;148.0;167.0;295;19;23.0;19.0
13;134;149.0;157.0;284;22;9.0;8.0
8;135;149.0;152.0;286;12;2.0;3.0
2;147;149.0;158.0;299;21;9.0;9.0
18;137;150.0;153.0;288;29;3.0;3.0
10;138;150.0;169.0;289;8;19.0;19.0
19;151;152.0;181.0;304;17;29.0;29.0
8;151;152.0;169.0;301;18;16.0;17.0
0;138;152.11226260757456;162.11226260757456;291;12;11.0;10.0
18;145;153.0;164.0;293;15;10.0;11.0
15;153;155.55775295991396;157.55775295991396;307;10;2.0;2.0
16;154;157.0;161.0;311;8;3.0;4.0
13;153;157.0;165.0;306;19;8.0;8.0
15;154;157.55775295991396;166.55775295991396;314;5;9.0;9.0
2;151;158.0;169.0;302;7;9.0;11.0
14;160;160.0;178.0;324;25;19.0;18.0
16;156;161.0;172.0;318;17;10.0;11.0
0;151;162.11226260757456;182.11226260757456;303;3;20.0;20.0
17;151;162.52476115507665;188.52476115507665;305;0;24.0;26.0
3;158;163.0;190.0;322;23;27.0;27.0
18;154;164.0;167.0;313;29;3.0;3.0
13;154;165.0;183.0;316;3;17.0;18.0
12;154;166.0;184.0;317;20;18.0;18.0
15;156;166.55775295991396;195.55775295991396;319;23;27.0;29.0
18;157;167.0;198.0;320;17;27.0;31.0
9;157;167.0;177.0;321;6;9.0;10.0
4;158;167.0;189.0;323;24;21.0;22.0
8;164;169.0;188.0;327;9;20.0;19.0
10;165;169.0;171.0;328;6;2.0;2.0
2;165;169.0;196.0;329;26;25.0;27.0
7;168;170.39182879306145;174.39182879306145;331;4;6.0;4.0
10;168;171.0;182.0;332;15;12.0;11.0
16;172;172.0;178.0;337;2;6.0;6.0
6;170;172.0;197.0;334;21;22.0;25.0
11;172;172.52423088208064;183.52423088208064;338;28;9.0;11.0
7;173;174.39182879306145;181.39182879306145;342;4;6.0;7.0
5;168;174.57754796008874;181.57754796008874;333;0;5.0;7.0
1;170;175.0;178.0;336;8;3.0;3.0
9;177;177.0;186.0;344;17;9.0;9.0
1;177;178.0;192.0;347;3;13.0;14.0
16;177;178.0;205.0;348;3;26.0;27.0
14;177;178.0;197.0;349;25;19.0;19.0
19;172;181.0;207.0;339;8;25.0;26.0
7;177;181.39182879306145;199.39182879306145;353;10;16.0;18.0
5;178;181.57754796008874;187.57754796008874;354;18;4.0;6.0
10;180;182.0;198.0;355;18;17.0;16.0
0;180;182.11226260757456;208.11226260757456;356;16;26.0;26.0
13;181;183.0;186.0;357;27;2.0;3.0
11;181;183.52423088208064;201.52423088208064;359;14;17.0;18.0
12;182;184.0;188.0;360;10;4.0;4.0
13;182;186.0;197.0;361;22;9.0;11.0
9;182;186.0;194.0;362;21;8.0;8.0
5;187;187.57754796008874;205.57754796008874;365;23;18.0;18.0
12;177;188.0;216.0;350;14;28.0;28.0
8;177;188.0;209.0;351;29;22.0;21.0
17;177;188.52476115507665;199.52476115507665;352;5;12.0;11.0
4;182;189.0;203.0;363;16;15.0;14.0
3;181;190.0;196.0;358;13;5.0;6.0
1;192;192.0;204.0;366;23;12.0;12.0
9;193;194.0;202.0;373;17;9.0;8.0
15;195;195.55775295991396;214.55775295991396;376;29;21.0;19.0
2;193;196.0;214.0;370;25;14.0;18.0
3;193;196.0;197.0;371;5;1.0;1.0
14;193;197.0;203.0;372;19;6.0;6.0
6;195;197.0;207.0;374;10;8.0;10.0
13;195;197.0;213.0;375;7;18.0;16.0
3;193;197.0;221.0;369;26;23.0;24.0
18;153;198.0;203.0;308;13;3.0;5.0
10;153;198.0;200.0;310;6;2.0;2.0
7;154;199.39182879306145;217.39182879306145;312;11;17.0;18.0
17;166;199.52476115507665;202.52476115507665;330;11;4.0;3.0
10;172;200.0;217.0;340;21;18.0;17.0
11;173;201.52423088208064;211.52423088208064;343;0;12.0;10.0
9;177;202.0;212.0;345;6;9.0;10.0
17;177;202.52476115507665;208.52476115507665;346;11;4.0;6.0
14;193;203.0;214.0;367;1;13.0;11.0
18;193;203.0;213.0;368;11;12.0;10.0
4;198;203.0;221.0;377;11;16.0;18.0
1;202;204.0;229.0;378;19;24.0;25.0
16;203;205.0;216.0;380;6;11.0;11.0
5;205;205.57754796008874;221.57754796008874;381;9;18.0;16.0
6;207;207.0;217.0;382;10;8.0;10.0
19;207;207.0;229.0;384;3;21.0;22.0
0;208;208.11226260757456;226.11226260757456;388;19;16.0;18.0
17;208;208.52476115507665;215.52476115507665;386;25;6.0;7.0
8;208;209.0;224.0;387;14;14.0;15.0
11;210;211.52423088208064;240.52423088208064;390;4;27.0;29.0
9;208;212.0;213.0;389;9;2.0;1.0
18;213;213.0;226.0;392;1;13.0;13.0
13;213;213.0;228.0;393;2;14.0;15.0
9;213;213.0;218.0;394;13;7.0;5.0
14;213;214.0;216.0;395;18;1.0;2.0
2;214;214.0;224.0;396;24;9.0;10.0
15;214;214.55775295991396;223.55775295991396;397;20;8.0;9.0
17;214;215.52476115507665;218.52476115507665;398;20;4.0;3.0
16;216;216.0;235.0;407;13;19.0;19.0
12;214;216.0;219.0;399;10;4.0;3.0
14;215;216.0;238.0;400;8;21.0;22.0
6;216;217.0;241.0;401;14;24.0;24.0
10;216;217.0;235.0;402;24;18.0;18.0
7;216;217.39182879306145;240.39182879306145;403;18;24.0;23.0
9;218;218.0;234.0;415;3;16.0;16.0
17;218;218.52476115507665;236.52476115507665;411;7;18.0;18.0
12;219;219.0;225.0;416;28;3.0;6.0
3;218;221.0;250.0;409;9;28.0;29.0
4;218;221.0;239.0;410;7;16.0;18.0
5;220;221.57754796008874;224.57754796008874;422;2;2.0;3.0
15;216;223.55775295991396;251.55775295991396;406;4;29.0;28.0
8;216;224.0;236.0;408;3;10.0;12.0
2;218;224.0;237.0;412;25;14.0;13.0
5;219;224.57754796008874;235.57754796008874;417;8;13.0;11.0
12;218;225.0;229.0;413;2;2.0;4.0
18;218;226.0;244.0;414;26;17.0;18.0
0;219;226.11226260757456;252.11226260757456;418;7;27.0;26.0
13;220;228.0;240.0;419;28;12.0;12.0
1;220;229.0;232.0;421;10;4.0;3.0
12;225;229.0;253.0;423;7;25.0;24.0
19;225;229.0;249.0;424;6;23.0;20.0
1;231;232.0;247.0;436;1;15.0;15.0
9;234;234.0;237.0;446;15;3.0;3.0
16;231;235.0;238.0;441;10;4.0;3.0
10;231;235.0;254.0;435;20;17.0;19.0
5;226;235.57754796008874;249.57754796008874;426;25;14.0;14.0
8;231;236.0;265.0;432;8;27.0;29.0
17;234;236.52476115507665;264.52476115507665;450;29;28.0;28.0
9;234;237.0;253.0;452;3;16.0;16.0
2;236;237.0;258.0;453;12;22.0;21.0
16;231;238.0;253.0;442;24;15.0;15.0
14;231;238.0;243.0;443;17;4.0;5.0
4;234;239.0;254.0;448;7;16.0;15.0
13;240;240.0;257.0;455;24;16.0;17.0
7;234;240.39182879306145;265.39182879306145;451;15;23.0;25.0
11;239;240.52423088208064;261.52423088208064;454;3;22.0;21.0
6;240;241.0;253.0;456;29;10.0;12.0
14;241;243.0;262.0;458;5;18.0;19.0
18;243;244.0;252.0;459;15;10.0;8.0
1;245;247.0;250.0;466;21;2.0;3.0
19;248;249.0;271.0;473;3;21.0;22.0
5;245;249.57754796008874;263.57754796008874;468;29;16.0;14.0
1;250;250.0;262.0;480;3;13.0;12.0
3;250;250.0;252.0;482;5;1.0;2.0
15;245;251.55775295991396;252.55775295991396;467;22;1.0;1.0
18;248;252.0;263.0;474;9;11.0;11.0
3;249;252.0;274.0;475;17;24.0;22.0
0;249;252.11226260757456;265.11226260757456;477;11;11.0;13.0
15;249;252.55775295991396;277.55775295991396;478;2;25.0;25.0
16;250;253.0;272.0;479;7;18.0;19.0
12;250;253.0;278.0;481;17;25.0;25.0
6;250;253.0;272.0;483;21;22.0;19.0
9;253;253.0;258.0;484;4;7.0;5.0
10;253;254.0;265.0;485;0;11.0;11.0
4;245;254.0;278.0;465;0;20.0;24.0
13;256;257.0;272.0;487;16;16.0;15.0
9;258;258.0;262.0;495;13;7.0;4.0
2;257;258.0;283.0;491;2;26.0;25.0
11;258;261.52423088208064;282.52423088208064;494;3;22.0;21.0
1;261;262.0;280.0;505;25;20.0;18.0
14;258;262.0;270.0;496;11;8.0;8.0
9;258;262.0;286.0;497;0;22.0;24.0
18;263;263.0;273.0;510;0;12.0;10.0
5;259;263.57754796008874;282.57754796008874;499;9;18.0;19.0
17;259;264.52476115507665;275.52476115507665;500;6;11.0;11.0
8;265;265.0;295.0;518;6;29.0;30.0
10;261;265.0;284.0;501;24;18.0;19.0
0;261;265.11226260757456;286.11226260757456;502;4;21.0;21.0
7;264;265.39182879306145;271.39182879306145;516;27;4.0;6.0
14;266;270.0;294.0;522;12;26.0;24.0
19;266;271.0;279.0;523;22;13.0;8.0
7;267;271.39182879306145;283.39182879306145;525;19;12.0;12.0
16;262;272.0;291.0;509;13;19.0;19.0
6;263;272.0;284.0;511;29;10.0;12.0
13;263;272.0;278.0;512;29;7.0;6.0
18;265;273.0;283.0;517;22;10.0;10.0
3;271;274.0;298.0;530;17;24.0;24.0
17;264;275.52476115507665;290.52476115507665;515;17;17.0;15.0
15;266;277.55775295991396;294.55775295991396;520;0;18.0;17.0
12;266;278.0;282.0;521;4;3.0;4.0
13;276;278.0;292.0;536;21;13.0;14.0
4;277;278.0;287.0;537;15;5.0;9.0
19;270;279.0;304.0;527;21;25.0;25.0
1;270;280.0;309.0;528;12;29.0;29.0
12;281;282.0;292.0;541;15;11.0;10.0
11;281;282.52423088208064;291.52423088208064;546;2;9.0;9.0
5;272;282.57754796008874;288.57754796008874;532;14;5.0;6.0
18;281;283.0;309.0;547;6;24.0;26.0
2;274;283.0;310.0;533;2;26.0;27.0
7;282;283.39182879306145;289.39182879306145;549;4;6.0;6.0
6;274;284.0;300.0;534;2;18.0;16.0
10;276;284.0;298.0;535;23;16.0;14.0
9;277;286.0;307.0;538;0;22.0;21.0
0;281;286.11226260757456;289.11226260757456;540;8;1.0;3.0
4;287;287.0;295.0;563;21;7.0;8.0
5;287;288.57754796008874;307.57754796008874;565;11;18.0;19.0
0;281;289.11226260757456;295.11226260757456;543;9;5.0;6.0
7;281;289.39182879306145;316.39182879306145;544;14;26.0;27.0
17;290;290.52476115507665;307.52476115507665;567;24;16.0;17.0
16;290;291.0;306.0;566;12;15.0;15.0
11;281;291.52423088208064;294.52423088208064;545;22;3.0;3.0
12;282;292.0;316.0;550;12;27.0;24.0
13;284;292.0;299.0;553;25;2.0;7.0
14;285;294.0;308.0;554;29;12.0;14.0
11;285;294.52423088208064;315.52423088208064;555;20;20.0;21.0
15;285;294.55775295991396;295.55775295991396;556;22;1.0;1.0
8;295;295.0;300.0;586;22;5.0;5.0
4;285;295.0;313.0;560;20;17.0;18.0
0;295;295.11226260757456;300.11226260757456;578;9;5.0;5.0
15;295;295.55775295991396;308.55775295991396;584;18;14.0;13.0
10;295;298.0;315.0;574;5;16.0;17.0
3;295;298.0;316.0;575;19;18.0;18.0
13;299;299.0;309.0;588;29;7.0;10.0
6;287;300.0;303.0;562;28;2.0;3.0
8;287;300.0;317.0;564;23;20.0;17.0
0;290;300.11226260757456;321.11226260757456;568;13;21.0;21.0
6;303;303.0;328.0;594;9;29.0;25.0
19;303;304.0;314.0;593;26;9.0;10.0
16;294;306.0;320.0;570;5;14.0;14.0
9;294;307.0;332.0;572;5;26.0;25.0
17;295;307.52476115507665;310.52476115507665;576;18;2.0;3.0
5;295;307.57754796008874;326.57754796008874;577;11;18.0;19.0
14;295;308.0;311.0;579;18;1.0;3.0
15;295;308.55775295991396;321.55775295991396;581;24;16.0;13.0
1;299;309.0;333.0;587;11;22.0;24.0
13;299;309.0;310.0;589;27;2.0;1.0
