server;arrival;start;end;client;class;estimated_proc_time;real_proc_time
1;1;1.0;4.0;0;26;4.0;3.0
2;2;2.0;25.0;1;5;24.0;23.0
3;2;2.0;16.0;2;27;12.0;14.0
4;2;2.0;20.0;3;29;14.0;18.0
6;4;4.0;9.0;4;24;5.0;5.0
9;4;4.0;29.0;5;19;24.0;25.0
10;4;4.0;17.0;6;2;12.0;13.0
11;4;4.0;12.0;7;24;8.0;8.0
8;8;8.0;28.0;8;11;20.0;20.0
13;9;9.0;36.0;9;17;25.0;27.0
14;9;9.0;10.0;10;21;2.0;1.0
16;9;9.0;36.0;11;24;26.0;27.0
0;12;12.0;34.0;12;13;21.0;22.0
5;14;14.0;32.0;13;8;20.0;18.0
7;17;17.0;42.0;16;19;28.0;25.0
17;17;17.0;21.0;19;13;5.0;4.0
18;17;17.0;33.0;20;3;13.0;16.0
14;17;17.0;44.0;17;28;25.0;27.0
1;17;17.0;43.0;18;12;26.0;26.0
6;17;17.0;43.0;15;14;28.0;26.0
11;17;17.0;39.0;14;8;22.0;22.0
12;18;18.0;31.0;22;24;13.0;13.0
10;18;18.0;45.0;21;4;28.0;27.0
3;20;20.0;45.0;27;15;25.0;25.0
4;20;20.0;33.0;25;4;12.0;13.0
17;20;21.0;31.0;26;15;10.0;10.0
19;20;21.97180150400793;39.97180150400793;24;7;17.0;17.999999999999996
2;23;25.0;44.0;33;7;17.0;19.0
8;25;28.0;37.0;36;22;10.0;9.0
15;25;28.510104415433478;35.510104415433474;37;11;8.0;6.9999999999999964
9;29;29.0;40.0;38;9;12.0;11.0
12;31;31.0;50.0;53;21;20.0;19.0
17;31;31.0;40.0;47;3;9.0;9.0
5;31;32.0;51.0;46;12;20.0;19.0
18;33;33.0;62.0;54;20;29.0;29.0
4;33;33.0;44.0;55;4;12.0;11.0
0;33;34.0;54.0;56;29;19.0;20.0
15;35;35.510104415433474;53.510104415433474;58;15;17.0;18.0
16;35;36.0;46.0;57;4;9.0;10.0
13;31;36.0;38.0;45;5;2.0;2.0
8;31;37.0;59.0;48;27;22.0;22.0
13;30;38.0;49.0;43;26;12.0;11.0
11;30;39.0;45.0;41;4;8.0;6.0
19;30;39.97180150400793;43.97180150400793;42;5;5.0;4.0
17;40;40.0;69.0;59;25;28.0;29.0
9;31;40.0;51.0;44;4;12.0;11.0
1;23;43.0;68.0;34;11;28.0;25.0
6;31;43.0;54.0;50;19;10.0;11.0
19;31;43.97180150400793;55.97180150400793;52;0;12.0;12.0
14;44;44.0;65.0;62;2;24.0;21.0
2;43;44.0;50.0;60;2;3.0;6.0
4;44;44.0;73.0;63;18;25.0;29.0
11;31;45.0;63.0;49;6;19.0;18.0
3;31;45.0;71.0;51;26;26.0;26.0
10;22;45.0;75.0;30;5;29.0;30.0
16;23;46.0;47.0;32;9;3.0;1.0
16;30;47.0;55.0;40;22;9.0;8.0
