server;arrival;start;end;client;class;estimated_proc_time;real_proc_time
0;0;0.0;6.0;6;17;3.0;6.0
1;0;0.0;3.0;0;27;2.0;3.0
4;0;0.0;29.0;5;2;28.0;29.0
5;0;0.0;24.0;7;0;22.0;24.0
6;0;0.0;7.0;1;18;4.0;7.0
7;0;0.0;1.0;4;3;1.0;1.0
8;0;0.0;9.0;3;28;10.0;9.0
9;0;0.0;10.0;9;20;5.0;10.0
10;0;0.0;9.0;2;13;9.0;9.0
12;0;0.0;10.0;11;0;14.0;10.0
14;2;2.0;22.0;15;4;21.0;20.0
15;2;2.0;21.0;17;12;16.0;19.0
16;2;2.0;8.0;19;5;7.0;6.0
17;2;2.0;16.0;12;23;16.0;14.0
18;2;2.0;9.0;16;24;8.0;7.0
19;2;2.0;6.0;14;12;1.0;4.0
7;2;2.0;31.0;20;18;29.0;29.0
1;2;3.0;4.0;13;20;2.0;1.0
1;3;4.0;22.0;25;12;18.0;18.0
2;5;5.090097593338523;34.09009759333853;29;7;29.0;29.000000000000004
19;2;6.0;10.0;18;12;1.0;4.0
0;3;6.0;25.0;26;29;19.0;19.0
6;3;7.0;17.0;24;14;5.0;10.0
16;2;8.0;32.0;22;9;24.0;24.0
18;5;9.0;21.0;27;13;13.0;12.0
8;9;9.0;23.0;39;20;16.0;14.0
10;9;9.0;29.0;35;3;19.0;20.0
19;9;10.0;24.0;34;2;15.0;14.0
9;9;10.0;36.0;33;23;25.0;26.0
12;9;10.0;27.0;32;4;16.0;17.0
3;9;12.68720903936729;27.68720903936729;37;21;17.0;15.0
17;14;16.0;41.0;41;8;29.0;25.0
6;15;17.0;20.0;46;14;5.0;3.0
13;9;19.24473221901645;47.24473221901645;38;18;28.0;28.0
6;9;20.0;32.0;36;9;10.0;12.0
18;15;21.0;34.0;47;13;13.0;13.0
15;19;21.0;44.0;54;25;23.0;23.0
14;17;22.0;32.0;50;17;7.0;10.0
1;5;22.0;44.0;28;8;22.0;22.0
19;19;24.0;38.0;56;16;12.0;14.0
5;19;24.0;46.0;57;0;22.0;22.0
0;23;25.0;40.0;60;21;14.0;15.0
11;15;26.055833788687323;29.055833788687323;44;10;1.0;3.0
12;26;27.0;31.0;69;22;6.0;4.0
3;23;27.68720903936729;54.68720903936729;62;24;27.0;27.0
10;15;29.0;52.0;45;2;24.0;23.0
4;15;29.0;41.0;43;12;12.0;12.0
11;26;29.055833788687323;33.05583378868732;66;21;4.0;4.0
7;8;31.0;60.0;31;18;29.0;29.0
12;18;31.0;56.0;52;28;23.0;25.0
16;15;32.0;53.0;48;0;19.0;21.0
14;26;32.0;57.0;68;1;26.0;25.0
6;29;32.0;37.0;74;12;2.0;5.0
11;29;33.05583378868732;43.05583378868732;73;11;9.0;10.0
18;26;34.0;50.0;67;3;16.0;16.0
2;30;34.09009759333853;41.09009759333853;79;6;4.0;7.0
9;28;36.0;39.0;70;27;2.0;3.0
6;37;37.0;46.0;90;21;7.0;9.0
19;26;38.0;63.0;65;3;22.0;25.0
9;33;39.0;63.0;87;23;25.0;24.0
0;23;40.0;62.0;61;7;22.0;22.0
17;39;41.0;55.0;94;6;10.0;14.0
4;39;41.0;52.0;93;26;13.0;11.0
2;33;41.09009759333853;42.09009759333853;84;8;2.0;1.0
8;40;41.46752342594738;50.46752342594738;96;29;9.0;9.0
2;33;42.09009759333853;70.09009759333853;81;3;27.0;28.0
11;29;43.05583378868732;72.05583378868732;76;20;29.0;29.0
1;33;44.0;46.0;85;20;2.0;2.0
1;19;46.0;62.0;55;23;15.0;16.0
5;45;46.0;66.0;115;25;20.0;20.0
6;43;46.0;73.0;104;13;29.0;27.0
13;41;47.24473221901645;62.24473221901645;98;9;16.0;15.0
18;45;50.0;68.0;106;6;17.0;18.0
8;45;50.46752342594738;56.46752342594738;110;18;4.0;6.0
10;45;52.0;78.0;107;0;24.0;26.0
4;14;52.0;63.0;40;6;8.0;11.0
16;28;53.0;79.0;71;23;28.0;26.0
3;51;54.68720903936729;80.68720903936729;133;28;23.0;26.0
17;33;55.0;59.0;82;27;4.0;4.0
12;56;56.0;74.0;143;1;19.0;18.0
8;29;56.46752342594738;62.46752342594738;75;11;5.0;6.0
14;51;57.0;81.0;130;7;23.0;24.0
17;45;59.0;70.0;112;16;11.0;11.0
7;49;60.0;65.0;127;21;6.0;5.0
15;43;60.834327096319605;62.834327096319605;101;14;2.0;2.0
0;52;62.0;82.0;138;29;19.0;20.0
1;33;62.0;89.0;83;11;26.0;27.0
13;37;62.24473221901645;64.24473221901644;91;16;1.0;1.999999999999993
8;58;62.46752342594738;84.46752342594738;144;23;22.0;22.0
15;61;62.834327096319605;73.83432709631961;147;10;6.0;11.000000000000007
19;53;63.0;64.0;140;20;4.0;1.0
9;51;63.0;65.0;132;27;2.0;2.0
4;43;63.0;94.0;102;1;29.0;31.0
19;33;64.0;73.0;88;19;4.0;9.0
13;41;64.24473221901644;70.24473221901644;97;12;6.0;6.0
7;18;65.0;90.0;51;26;26.0;25.0
9;23;65.0;78.0;59;4;14.0;13.0
5;49;66.0;72.0;121;7;6.0;6.0
18;26;68.0;71.0;63;7;4.0;3.0
17;48;70.0;76.0;119;17;6.0;6.0
2;69;70.09009759333853;97.09009759333853;156;3;27.0;27.0
13;45;70.24473221901644;88.24473221901644;113;13;18.0;18.0
18;32;71.0;96.0;80;10;24.0;25.0
5;53;72.0;92.0;142;12;21.0;20.0
11;59;72.05583378868732;81.05583378868732;146;14;9.0;9.0
19;73;73.0;83.0;168;26;10.0;10.0
15;49;73.83432709631961;86.83432709631961;122;12;16.0;13.0
12;67;74.0;94.0;151;23;18.0;20.0
17;71;76.0;85.0;158;6;10.0;9.0
9;73;78.0;94.0;162;1;15.0;16.0
10;53;78.0;104.0;139;12;26.0;26.0
16;78;79.0;86.0;177;19;6.0;7.0
3;68;80.68720903936729;106.68720903936729;154;24;27.0;26.0
14;73;81.0;109.0;171;27;27.0;28.0
11;63;81.05583378868732;107.05583378868732;150;9;28.0;26.0
0;49;82.0;99.0;128;6;17.0;17.0
19;74;83.0;111.0;172;21;28.0;28.0
8;68;84.46752342594738;88.46752342594738;153;18;4.0;4.0
17;58;85.0;101.0;145;23;16.0;16.0
16;71;86.0;116.0;159;23;28.0;30.0
15;79;86.83432709631961;94.83432709631961;179;29;8.0;8.0
6;43;88.08975809011915;111.08975809011915;103;0;22.0;23.0
13;73;88.24473221901644;109.24473221901644;169;8;21.0;21.0
8;45;88.46752342594738;103.46752342594738;109;2;15.0;15.0
1;85;89.0;96.0;188;0;7.0;7.0
7;84;90.0;114.0;185;17;25.0;24.0
5;45;92.0;119.0;114;9;26.0;27.0
9;63;94.0;122.0;149;10;29.0;28.0
4;51;94.0;102.0;134;5;9.0;8.0
12;85;94.0;109.0;187;4;16.0;15.0
15;94;94.83432709631961;109.83432709631961;206;17;16.0;15.0
18;92;96.0;106.0;203;17;11.0;10.0
1;84;96.0;97.0;184;5;3.0;1.0
1;83;97.0;100.0;183;25;4.0;3.0
2;97;97.09009759333853;116.09009759333853;211;11;19.0;19.0
0;88;99.0;118.0;197;5;21.0;19.0
1;87;100.0;116.0;192;22;17.0;16.0
17;87;101.0;106.0;191;12;4.0;5.0
4;102;102.0;109.0;218;5;9.0;7.0
8;52;103.46752342594738;124.46752342594738;137;26;20.0;21.0
10;26;104.0;115.0;64;29;10.0;11.0
17;73;106.0;136.0;167;0;28.0;30.0
18;78;106.0;129.0;176;5;27.0;23.0
3;102;106.68720903936729;121.68720903936729;219;17;13.0;15.0
11;102;107.05583378868732;111.05583378868732;223;23;5.0;4.0
14;90;109.0;119.0;199;0;9.0;10.0
4;105;109.0;120.0;227;28;10.0;11.0
12;73;109.0;130.0;164;14;19.0;21.0
13;52;109.24473221901644;132.24473221901644;136;8;21.0;23.0
15;71;109.83432709631961;126.83432709631961;161;3;14.0;17.0
19;110;111.0;128.0;233;7;18.0;17.0
11;111;111.05583378868732;121.05583378868732;236;14;9.0;10.0
6;85;111.08975809011915;139.08975809011915;186;5;27.0;28.0
7;102;114.0;116.0;222;14;2.0;2.0
10;51;115.0;128.0;131;7;12.0;13.0
16;73;116.0;145.0;165;20;29.0;29.0
7;94;116.0;140.0;207;27;24.0;24.0
2;37;116.09009759333853;119.09009759333853;92;15;2.0;3.0
14;105;119.0;123.0;225;22;3.0;4.0
5;116;119.0;145.0;247;9;26.0;26.0
2;53;119.09009759333853;139.09009759333853;141;14;17.0;20.0
4;102;120.0;130.0;217;5;9.0;10.0
11;85;121.05583378868732;124.05583378868732;189;13;2.0;3.0
3;107;121.68720903936729;137.6872090393673;229;18;16.0;16.000000000000014
9;107;122.0;152.0;231;8;29.0;30.0
14;122;123.0;149.0;251;27;27.0;26.0
11;97;124.05583378868732;125.05583378868732;212;22;2.0;1.0
8;110;124.46752342594738;126.46752342594738;234;22;1.0;2.0
11;116;125.05583378868732;130.05583378868732;242;21;4.0;5.0
