server;arrival;start;end;client;class;estimated_proc_time;real_proc_time
0;2;2.0;27.0;4;1;25.0;25.0
1;2;2.0;22.0;0;18;20.0;20.0
2;2;2.0;11.0;6;10;10.0;9.0
4;2;2.0;17.0;2;27;16.0;15.0
5;2;2.0;5.0;3;26;2.0;3.0
6;2;2.0;5.0;1;26;3.0;3.0
8;2;2.0;23.0;5;5;23.0;21.0
10;4;4.0;29.0;7;14;27.0;25.0
11;4;4.0;18.0;8;10;14.0;14.0
12;5;5.0;19.0;12;18;14.0;14.0
15;5;5.0;14.0;13;22;8.0;9.0
16;5;5.0;13.0;11;25;4.0;8.0
17;5;5.0;24.0;10;22;22.0;19.0
19;5;5.0;25.0;9;3;22.0;20.0
3;6;6.0;28.0;14;15;26.0;22.0
13;7;7.0;28.0;15;26;22.0;21.0
14;7;7.0;25.0;17;3;17.0;18.0
5;7;7.0;8.0;19;26;2.0;1.0
6;7;7.0;18.0;18;28;10.0;11.0
5;8;8.0;24.0;27;18;14.0;16.0
18;8;8.372913457514603;38.3729134575146;22;2;27.0;29.999999999999996
2;10;11.0;17.0;28;21;8.0;6.0
16;10;13.0;41.0;29;18;29.0;28.0
15;11;14.0;16.0;35;28;4.0;2.0
7;11;14.71758649336949;34.71758649336949;37;0;20.0;20.0
15;13;16.0;22.0;38;10;6.0;6.0
9;10;16.91508418373751;17.91508418373751;30;28;3.0;1.0
2;17;17.0;18.0;43;28;2.0;1.0
4;17;17.0;41.0;42;7;26.0;24.0
9;11;17.91508418373751;24.91508418373751;34;18;7.0;7.0
11;8;18.0;44.0;24;23;28.0;26.0
6;8;18.0;46.0;23;24;28.0;28.0
2;8;18.0;39.0;21;7;21.0;21.0
12;10;19.0;30.0;31;22;11.0;11.0
15;10;22.0;39.0;32;7;17.0;17.0
1;22;22.0;25.0;54;13;4.0;3.0
8;8;23.0;48.0;25;4;25.0;25.0
17;17;24.0;37.0;45;26;13.0;13.0
5;11;24.0;41.0;33;3;16.0;17.0
14;7;25.0;41.0;16;2;18.0;16.0
19;14;25.0;40.0;40;9;15.0;15.0
1;25;25.0;36.0;60;24;13.0;11.0
0;22;27.0;39.0;52;16;12.0;12.0
13;22;28.0;37.0;51;1;12.0;9.0
3;24;28.0;54.0;58;15;26.0;26.0
10;29;29.0;53.0;68;26;25.0;24.0
12;30;30.0;43.0;70;4;11.0;13.0
7;7;34.71758649336949;44.71758649336949;20;2;9.0;10.0
9;22;35.12465728276777;57.12465728276777;48;23;27.0;22.0
1;19;36.0;52.0;46;12;16.0;16.0
