server;arrival;start;end;client;class;estimated_proc_time;real_proc_time
0;0;0.0;15.0;0;19;15.0;15.0
1;0;0.0;18.0;2;0;19.0;18.0
2;0;0.0;15.0;1;15;15.0;15.0
3;1;1.0;5.0;3;13;4.0;4.0
4;1;1.0;7.0;4;12;5.0;6.0
5;3;3.0;11.0;6;11;6.0;8.0
6;3;3.0;14.0;5;23;11.0;11.0
7;5;5.0;8.0;7;29;2.0;3.0
8;6;6.0;7.0;8;28;2.0;1.0
9;6;6.0;16.0;9;12;9.0;10.0
10;6;6.0;32.0;10;14;27.0;26.0
12;6;6.0;19.0;12;16;13.0;13.0
13;6;6.0;26.0;11;18;23.0;20.0
14;10;10.0;19.0;14;26;9.0;9.0
15;10;10.0;20.0;13;27;9.0;10.0
16;11;11.0;21.0;16;18;12.0;10.0
17;11;11.0;25.0;15;25;13.0;14.0
18;13;13.0;39.0;18;15;25.0;26.0
19;13;13.0;38.0;19;21;22.0;25.0
8;13;13.0;36.0;17;14;25.0;23.0
7;13;13.0;17.0;20;6;4.0;4.0
3;14;14.0;15.0;21;24;1.0;1.0
4;14;14.0;22.0;22;19;7.0;8.0
3;15;15.0;17.0;23;20;1.0;2.0
5;15;15.0;38.0;25;15;24.0;23.0
6;15;15.0;33.0;26;16;18.0;18.0
0;15;15.0;40.0;24;26;25.0;25.0
9;16;16.0;29.0;34;16;13.0;13.0
2;16;16.0;41.0;30;18;25.0;25.0
3;16;17.0;22.0;31;22;5.0;5.0
7;16;17.0;20.0;33;15;2.0;3.0
1;16;18.0;36.0;27;10;19.0;18.0
14;16;19.0;39.0;29;24;18.0;20.0
12;16;19.0;43.0;28;8;25.0;24.0
11;19;19.38511934647385;49.38511934647385;36;0;26.0;30.0
7;20;20.0;24.0;37;25;4.0;4.0
16;22;22.0;25.0;40;24;3.0;3.0
15;22;22.0;42.0;38;8;22.0;20.0
3;22;22.0;23.0;39;20;1.0;1.0
3;24;24.0;48.0;41;16;25.0;24.0
4;24;24.0;42.0;42;14;19.0;18.0
7;24;24.0;30.0;43;25;4.0;6.0
16;25;25.0;44.0;45;5;17.0;19.0
17;25;25.0;52.0;44;0;27.0;27.0
13;25;26.0;49.0;46;18;23.0;23.0
9;25;29.0;57.0;47;8;28.0;28.0
7;29;30.0;47.0;49;0;17.0;17.0
10;30;32.0;54.0;51;19;22.0;22.0
