server;arrival;start;end;client;class;estimated_proc_time;real_proc_time
1;0;0.0;21.0;0;7;21.0;21.0
2;0;0.0;7.0;1;27;6.0;7.0
3;1;1.0;24.0;2;19;24.0;23.0
4;1;1.0;16.0;3;9;13.0;15.0
5;2;2.0;4.0;4;22;1.0;2.0
7;2;2.0;5.0;5;12;5.0;3.0
8;2;2.0;28.0;6;10;24.0;26.0
9;7;7.0;28.0;7;27;20.0;21.0
11;9;9.0;37.0;9;29;29.0;28.0
15;9;9.0;33.0;8;3;28.0;24.0
16;9;9.0;10.0;10;24;1.0;1.0
10;12;12.0;32.0;13;20;19.0;20.0
17;12;12.0;28.0;11;12;14.0;16.0
19;12;12.0;33.0;12;26;22.0;21.0
16;12;12.0;30.0;14;19;19.0;18.0
5;13;13.0;22.0;15;3;10.0;9.0
0;15;15.0;25.0;16;20;10.0;10.0
7;15;15.0;32.0;17;20;18.0;17.0
6;16;16.0;26.0;19;0;9.0;10.0
4;16;16.0;21.0;18;29;5.0;5.0
13;18;18.0;27.0;20;8;6.0;9.0
18;18;20.076308221584767;22.076308221584767;21;28;1.0;2.0
2;18;20.721847946802434;28.721847946802434;22;5;11.0;8.0
12;25;25.0;30.0;24;28;6.0;5.0
14;25;25.0;56.0;23;24;28.0;31.0
18;25;25.0;37.0;25;16;14.0;12.0
0;25;25.0;27.0;26;24;5.0;2.0
13;28;28.0;54.0;27;18;25.0;26.0
5;28;28.0;48.0;29;17;22.0;20.0
0;28;28.0;30.0;28;25;4.0;2.0
2;29;29.0;35.0;36;27;6.0;6.0
17;29;29.0;38.0;35;21;8.0;9.0
4;29;29.0;39.0;34;13;12.0;10.0
1;29;29.0;45.0;31;21;18.0;16.0
9;29;29.0;38.0;37;10;9.0;9.0
3;29;29.0;51.0;30;12;22.0;22.0
8;29;29.0;44.0;32;2;15.0;15.0
12;30;30.0;57.0;38;23;26.0;27.0
0;30;30.0;45.0;40;16;15.0;15.0
16;30;30.0;41.0;39;20;12.0;11.0
10;31;32.0;40.0;41;6;11.0;8.0
7;31;32.0;59.0;42;3;27.0;27.0
19;31;33.0;58.0;43;4;27.0;25.0
15;33;33.0;53.0;44;13;21.0;20.0
2;33;35.0;54.0;47;0;20.0;19.0
18;33;37.0;39.0;46;2;2.0;2.0
11;35;37.0;47.0;50;3;11.0;10.0
17;34;38.0;63.0;48;2;26.0;25.0
9;33;38.0;46.0;45;24;8.0;8.0
18;35;39.0;41.0;49;28;1.0;2.0
10;40;40.0;47.0;52;9;6.0;7.0
4;40;40.0;47.0;51;4;7.0;7.0
18;41;41.0;69.0;56;27;28.0;28.0
16;41;41.0;56.0;54;12;16.0;15.0
