server;arrival;start;end;client;class;estimated_proc_time;real_proc_time
0;1;1.0;4.0;3;8;7.0;3.0
2;1;1.0;13.0;5;26;12.0;12.0
3;1;1.0;30.0;2;13;27.0;29.0
5;1;1.0;24.0;1;15;24.0;23.0
6;1;1.0;27.0;6;29;27.0;26.0
8;1;1.0;11.0;0;1;12.0;10.0
9;1;1.0;9.0;4;11;11.0;8.0
14;3;3.0;24.0;7;13;20.0;21.0
15;5;5.0;14.0;8;4;11.0;9.0
17;5;5.0;10.0;9;13;4.0;5.0
18;5;5.0;14.0;10;13;13.0;9.0
19;7;7.0;22.0;14;15;15.0;15.0
12;7;7.0;23.0;12;9;18.0;16.0
7;7;7.0;20.0;11;19;11.0;13.0
0;7;7.0;21.0;13;21;12.0;14.0
11;9;9.0;28.0;16;3;19.0;19.0
9;9;9.0;13.0;15;18;3.0;4.0
17;9;10.0;26.0;17;5;15.0;16.0
8;11;11.0;30.0;18;16;22.0;19.0
1;14;14.0;31.0;19;0;18.0;17.0
4;16;16.0;20.0;20;0;4.0;4.0
16;16;16.0;17.0;21;0;1.0;1.0
18;16;16.0;38.0;23;28;22.0;22.0
15;16;16.0;19.0;24;8;4.0;3.0
9;16;16.0;28.0;22;12;10.0;12.0
16;17;17.0;25.0;27;25;7.0;8.0
2;17;17.0;24.0;26;24;7.0;7.0
13;17;17.255888579607934;28.255888579607934;25;19;12.0;11.0
15;17;19.0;22.0;28;23;1.0;3.0
4;19;20.0;25.0;29;1;4.0;5.0
7;19;20.0;32.0;31;9;12.0;12.0
10;19;20.453645126811402;21.453645126811402;32;2;2.0;1.0
0;21;21.0;35.0;34;17;12.0;14.0
10;19;21.453645126811402;51.4536451268114;33;20;29.0;30.0
19;22;22.0;39.0;35;4;16.0;17.0
15;23;23.0;25.0;36;2;2.0;2.0
12;23;23.0;39.0;39;7;15.0;16.0
2;23;24.0;47.0;37;14;22.0;23.0
14;23;24.0;27.0;38;26;1.0;3.0
5;24;24.0;49.0;40;9;26.0;25.0
16;24;25.0;41.0;41;5;16.0;16.0
15;27;27.0;28.0;42;23;1.0;1.0
13;29;29.0;41.0;44;24;16.0;12.0
15;29;29.0;58.0;45;18;29.0;29.0
11;29;29.0;37.0;46;15;9.0;8.0
17;30;30.0;39.0;48;1;7.0;9.0
9;30;30.0;45.0;49;4;14.0;15.0
14;30;30.0;36.0;47;7;5.0;6.0
1;36;36.0;56.0;52;3;20.0;20.0
7;36;36.0;50.0;50;9;12.0;14.0
8;36;36.0;47.0;53;5;13.0;11.0
11;38;38.0;50.0;65;11;12.0;12.0
3;38;38.0;64.0;60;21;26.0;26.0
14;38;38.0;45.0;63;16;8.0;7.0
0;38;38.0;63.0;59;12;25.0;25.0
18;38;38.0;39.0;62;19;3.0;1.0
4;38;38.83362257785128;41.83362257785128;57;1;4.0;3.0
17;39;39.0;42.0;66;13;4.0;3.0
18;38;39.0;67.0;55;7;28.0;28.0
19;38;39.0;46.0;56;29;9.0;7.0
12;39;39.0;56.0;67;21;18.0;17.0
