server;arrival;start;end;client;class;estimated_proc_time;real_proc_time
0;1;1.0;19.0;0;21;19.0;18.0
3;3;3.0;13.0;2;12;12.0;10.0
4;3;3.0;20.0;1;4;13.0;17.0
5;4;4.0;27.0;4;4;23.0;23.0
8;4;4.0;21.0;3;2;16.0;17.0
9;5;5.0;28.0;8;6;21.0;23.0
10;5;5.0;17.0;12;17;9.0;12.0
13;5;5.0;19.0;7;23;16.0;14.0
14;5;5.0;22.0;10;23;13.0;17.0
16;5;5.0;16.0;11;11;9.0;11.0
18;5;5.0;14.0;9;22;9.0;9.0
19;5;5.0;10.0;6;17;4.0;5.0
15;5;5.0;7.0;5;14;3.0;2.0
15;6;7.0;29.0;13;26;23.0;22.0
1;8;9.668243167643464;26.668243167643464;15;1;17.0;17.0
19;6;10.0;21.0;14;9;11.0;11.0
2;8;10.542764617635225;30.542764617635225;16;20;20.0;20.0
7;11;12.427753216588778;38.427753216588776;17;11;26.0;26.0
3;11;13.0;19.0;20;19;5.0;6.0
11;11;13.759857026240319;18.75985702624032;19;19;4.0;5.0
18;14;14.0;38.0;28;7;24.0;24.0
16;16;16.0;32.0;36;13;15.0;16.0
10;13;17.0;43.0;23;22;27.0;26.0
17;14;18.480844026378342;19.480844026378342;27;24;3.0;1.0
11;13;18.75985702624032;46.75985702624032;25;18;28.0;28.0
3;16;19.0;46.0;37;29;28.0;27.0
0;16;19.0;28.0;33;20;12.0;9.0
17;16;19.480844026378342;32.48084402637834;35;1;15.0;13.0
4;14;20.0;36.0;29;11;18.0;16.0
19;17;21.0;23.0;39;22;2.0;2.0
8;14;21.0;51.0;31;13;29.0;30.0
14;14;22.0;25.0;30;28;4.0;3.0
6;16;22.65159713163976;32.65159713163976;38;4;9.0;10.0
19;14;23.0;24.0;26;11;3.0;1.0
19;23;24.0;41.0;44;2;18.0;17.0
14;13;25.0;49.0;24;0;23.0;24.0
12;23;25.165920969386264;50.16592096938626;46;6;25.0;25.0
1;17;26.668243167643464;39.66824316764347;40;14;12.0;13.000000000000004
5;25;27.0;49.0;49;21;22.0;22.0
9;27;28.0;44.0;51;16;15.0;16.0
0;23;28.0;51.0;47;19;23.0;23.0
15;29;29.0;43.0;56;3;14.0;14.0
13;16;29.799551376643915;43.79955137664392;34;13;14.0;14.000000000000004
2;23;30.542764617635225;39.54276461763523;43;10;10.0;9.000000000000004
16;28;32.0;40.0;53;11;9.0;8.0
17;12;32.48084402637834;47.48084402637834;21;2;15.0;15.0
4;29;36.0;40.0;54;14;6.0;4.0
18;34;38.0;43.0;71;6;3.0;5.0
7;23;38.427753216588776;67.42775321658877;45;9;26.0;28.999999999999993
2;34;39.54276461763523;57.54276461763523;73;16;17.0;18.0
1;29;39.66824316764347;53.66824316764347;55;23;14.0;14.0
16;14;40.0;47.0;32;4;7.0;7.0
4;37;40.0;59.0;81;12;19.0;19.0
19;32;41.0;43.0;58;14;2.0;2.0
18;34;43.0;71.0;77;3;28.0;28.0
10;42;43.0;72.0;87;22;27.0;29.0
19;37;43.0;69.0;79;19;28.0;26.0
15;42;43.0;45.0;88;21;2.0;2.0
13;34;43.79955137664392;56.79955137664392;67;4;17.0;13.0
9;37;44.0;55.0;82;16;15.0;11.0
15;25;45.0;59.0;48;3;14.0;14.0
3;34;46.0;58.0;64;13;11.0;12.0
11;34;46.75985702624032;65.75985702624033;76;9;17.0;19.000000000000007
16;39;47.0;69.0;84;1;22.0;22.0
17;34;47.48084402637834;65.48084402637835;63;18;20.0;18.000000000000007
14;34;49.0;70.0;75;4;19.0;21.0
12;49;50.16592096938626;53.16592096938626;104;22;4.0;3.0
6;42;50.531548360821354;56.531548360821354;91;13;6.0;6.0
8;27;51.0;54.0;50;9;7.0;3.0
12;40;53.16592096938626;61.16592096938626;86;25;8.0;8.0
1;51;53.66824316764347;75.66824316764347;113;2;23.0;22.0
8;42;54.0;60.0;92;14;7.0;6.0
9;49;55.0;72.0;102;24;18.0;17.0
5;54;56.08237254513007;83.08237254513007;118;23;28.0;27.0
6;29;56.531548360821354;61.531548360821354;57;2;5.0;5.0
13;49;56.79955137664392;73.79955137664392;105;10;16.0;17.0
2;49;57.54276461763523;61.54276461763523;99;24;3.0;4.0
3;49;58.0;83.0;100;17;21.0;25.0
15;59;59.0;61.0;126;14;3.0;2.0
4;58;59.0;65.0;123;14;6.0;6.0
8;42;60.0;62.0;90;23;3.0;2.0
15;34;61.0;70.0;74;20;9.0;9.0
12;36;61.16592096938626;77.16592096938626;78;11;15.0;16.0
6;54;61.531548360821354;90.53154836082135;119;18;27.0;28.999999999999993
2;34;61.54276461763523;65.54276461763523;72;23;4.0;4.0
8;37;62.0;76.0;80;26;14.0;14.0
4;34;65.0;69.0;60;10;5.0;4.0
0;65;65.12254066868053;80.12254066868053;132;3;15.0;15.0
17;64;65.48084402637835;97.48084402637835;131;7;29.0;32.0
2;59;65.54276461763523;81.54276461763523;125;8;18.0;16.0
11;51;65.75985702624033;71.75985702624033;114;13;6.0;6.0
16;49;69.0;94.0;106;9;25.0;25.0
4;50;69.0;97.0;112;27;28.0;28.0
14;54;70.0;72.0;120;25;1.0;2.0
15;34;70.0;98.0;70;0;29.0;28.0
18;67;71.0;83.0;137;21;12.0;12.0
11;54;71.75985702624033;80.75985702624033;117;20;9.0;9.0
9;42;72.0;89.0;93;2;17.0;17.0
10;58;72.0;82.0;124;5;10.0;10.0
14;72;72.0;93.0;151;15;24.0;21.0
13;72;73.79955137664392;102.79955137664392;150;2;28.0;29.0
1;65;75.66824316764347;89.66824316764347;134;25;15.0;14.0
8;71;76.0;102.0;145;20;27.0;26.0
12;71;77.16592096938626;91.16592096938626;148;3;14.0;14.0
0;74;80.12254066868053;85.12254066868053;155;25;6.0;5.0
11;80;80.75985702624033;96.75985702624033;168;16;12.0;16.0
2;81;81.54276461763523;83.54276461763523;170;13;5.0;2.0
10;80;82.0;103.0;162;9;19.0;21.0
18;69;83.0;105.0;141;7;24.0;22.0
3;71;83.0;86.0;147;26;1.0;3.0
5;73;83.08237254513007;100.08237254513007;153;17;18.0;17.0
2;52;83.54276461763523;104.54276461763523;115;1;21.0;21.0
0;80;85.12254066868053;101.12254066868053;165;26;16.0;16.0
