server;arrival;start;end;client;class;estimated_proc_time;real_proc_time
1;1;1.0;18.0;0;22;17.0;17.0
2;1;1.0;10.0;1;18;11.0;9.0
5;1;1.0;2.0;2;0;1.0;1.0
7;3;3.0;14.0;3;3;15.0;11.0
8;4;4.0;10.0;4;18;6.0;6.0
10;4;4.0;22.0;5;29;19.0;18.0
11;7;7.0;11.0;6;4;4.0;4.0
14;7;7.0;16.0;7;5;15.0;9.0
3;10;10.0;32.0;8;4;22.0;22.0
15;12;12.0;17.0;9;15;5.0;5.0
13;14;14.0;29.0;17;9;13.0;15.0
16;14;14.0;35.0;20;25;21.0;21.0
17;14;14.0;25.0;10;13;11.0;11.0
18;14;14.0;40.0;12;11;26.0;26.0
19;14;14.0;34.0;16;17;21.0;20.0
5;14;14.0;17.0;11;21;8.0;3.0
11;14;14.0;32.0;13;28;17.0;18.0
8;14;14.0;26.0;14;7;16.0;12.0
7;14;14.0;39.0;15;11;24.0;25.0
14;14;16.0;17.0;19;13;1.0;1.0
5;14;17.0;36.0;18;9;18.0;19.0
15;17;17.0;23.0;22;6;4.0;6.0
14;16;17.0;33.0;21;3;16.0;16.0
1;18;18.0;23.0;23;17;6.0;5.0
6;20;20.23823719710765;25.23823719710765;24;1;3.0;5.0
0;20;20.492971332644156;25.492971332644156;26;20;5.0;5.0
4;20;20.9353179917983;44.9353179917983;25;13;24.0;24.0
10;21;22.0;26.0;27;3;3.0;4.0
15;23;23.0;40.0;29;12;17.0;17.0
1;23;23.0;26.0;28;19;1.0;3.0
12;27;27.0;30.0;33;14;3.0;3.0
0;27;27.0;39.0;31;3;14.0;12.0
6;27;27.0;54.0;30;8;26.0;27.0
17;27;27.0;28.0;32;5;1.0;1.0
9;28;28.0;50.0;35;2;21.0;22.0
17;28;28.0;34.0;39;28;6.0;6.0
8;28;28.0;32.0;36;9;5.0;4.0
10;28;28.0;30.0;37;9;4.0;2.0
1;28;28.0;30.0;34;23;1.0;2.0
13;28;29.0;38.0;38;27;11.0;9.0
12;29;30.0;31.0;40;17;2.0;1.0
12;32;32.0;40.0;42;15;8.0;8.0
3;32;32.0;37.0;41;8;5.0;5.0
17;34;34.0;50.0;44;21;18.0;16.0
19;34;34.0;55.0;43;24;18.0;21.0
16;35;35.0;36.0;47;5;1.0;1.0
8;35;35.0;46.0;46;6;11.0;11.0
10;35;35.0;56.0;48;21;22.0;21.0
14;35;35.0;49.0;45;9;13.0;14.0
