server;arrival;start;end;client;class;estimated_proc_time;real_proc_time
0;0;0.0;29.0;0;7;29.0;29.0
3;2;2.0;11.0;1;8;9.0;9.0
5;3;3.0;11.0;6;0;9.0;8.0
8;3;3.0;20.0;8;9;19.0;17.0
9;3;3.0;5.0;5;12;1.0;2.0
10;3;3.0;13.0;7;2;11.0;10.0
11;3;3.0;26.0;3;15;24.0;23.0
12;3;3.0;11.0;4;9;9.0;8.0
13;3;3.0;15.0;9;10;10.0;12.0
14;9;9.0;14.0;10;28;5.0;5.0
15;9;9.0;34.0;11;10;25.0;25.0
16;11;11.0;26.0;12;17;16.0;15.0
17;11;11.0;26.0;13;15;14.0;15.0
18;11;11.0;20.0;14;2;9.0;9.0
19;13;13.0;38.0;15;10;26.0;25.0
2;14;14.0;37.0;17;11;22.0;23.0
4;15;15.0;16.0;19;15;3.0;1.0
6;15;15.0;30.0;18;15;16.0;15.0
1;19;19.0;25.0;20;18;4.0;6.0
7;19;19.0;33.0;21;26;13.0;14.0
4;20;20.0;35.0;22;13;14.0;15.0
9;22;22.0;46.0;25;7;25.0;24.0
14;22;22.0;25.0;26;28;5.0;3.0
5;22;22.0;43.0;24;25;21.0;21.0
12;22;22.0;39.0;23;8;18.0;17.0
3;23;23.0;51.0;28;23;29.0;28.0
18;23;23.0;38.0;29;29;13.0;15.0
10;23;23.0;51.0;30;3;29.0;28.0
1;25;25.0;45.0;31;10;20.0;20.0
14;25;25.0;44.0;32;25;18.0;19.0
13;26;26.0;50.0;33;20;25.0;24.0
17;28;28.0;49.0;34;12;19.0;21.0
8;28;28.0;43.0;37;10;16.0;15.0
11;28;28.0;38.0;36;4;9.0;10.0
6;29;30.0;48.0;41;13;19.0;18.0
7;28;33.0;53.0;38;13;22.0;20.0
15;29;34.0;47.0;42;27;12.0;13.0
4;31;35.0;46.0;46;23;11.0;11.0
2;36;37.0;52.0;58;27;15.0;15.0
18;36;38.0;68.0;59;11;29.0;30.0
19;32;38.0;64.0;48;15;27.0;26.0
11;28;38.0;51.0;35;11;17.0;13.0
