server;arrival;start;end;client;class;estimated_proc_time;real_proc_time
0;1;1.0;31.0;0;10;29.0;30.0
2;1;1.0;23.0;1;14;20.0;22.0
5;4;4.0;24.0;4;28;21.0;20.0
6;4;4.0;22.0;2;1;18.0;18.0
7;4;4.0;12.0;3;12;7.0;8.0
10;5;5.0;21.0;5;2;14.0;16.0
12;7;7.0;8.0;9;3;2.0;1.0
16;7;7.0;26.0;8;10;20.0;19.0
19;7;7.0;19.0;7;19;12.0;12.0
13;7;7.0;15.0;6;23;8.0;8.0
14;12;12.0;34.0;12;26;21.0;22.0
15;12;12.0;35.0;11;4;22.0;23.0
12;12;12.0;26.0;13;15;15.0;14.0
7;13;13.0;23.0;16;21;8.0;10.0
9;13;14.053030827311291;24.05303082731129;15;11;9.0;9.999999999999998
13;13;15.0;23.0;14;23;8.0;8.0
1;17;17.0;34.0;17;22;19.0;17.0
3;18;18.0;44.0;19;23;25.0;26.0
4;18;18.0;20.0;18;18;1.0;2.0
19;18;19.0;22.0;20;11;2.0;3.0
8;19;19.184290053069795;48.184290053069795;22;29;29.0;29.0
4;19;20.0;36.0;23;23;13.0;16.0
10;18;21.0;34.0;21;2;14.0;13.0
19;22;22.0;30.0;24;6;9.0;8.0
6;22;22.0;39.0;25;23;19.0;17.0
11;23;23.0;25.0;28;21;2.0;2.0
13;23;23.0;43.0;26;2;19.0;20.0
7;23;23.0;31.0;27;16;8.0;8.0
17;25;25.0;27.0;29;26;2.0;2.0
11;25;25.0;36.0;30;5;12.0;11.0
17;27;27.0;56.0;31;6;28.0;29.0
9;27;27.0;36.0;33;2;9.0;9.0
12;27;27.0;50.0;32;22;23.0;23.0
5;27;27.0;39.0;34;3;12.0;12.0
2;29;29.0;48.0;36;11;19.0;19.0
19;29;30.0;52.0;35;17;24.0;22.0
18;29;30.542408903711227;36.54240890371123;37;4;5.0;6.0
7;30;31.0;33.0;39;28;2.0;2.0
0;31;31.0;49.0;41;29;19.0;18.0
7;32;33.0;36.0;46;28;2.0;3.0
1;34;34.0;37.0;49;20;3.0;3.0
14;32;34.0;61.0;47;21;27.0;27.0
10;32;34.0;44.0;44;9;9.0;10.0
15;30;35.0;63.0;40;5;26.0;28.0
11;35;36.0;57.0;51;27;22.0;21.0
4;32;36.0;61.0;45;14;26.0;25.0
9;36;36.0;37.0;52;20;2.0;1.0
7;32;36.0;60.0;43;15;24.0;24.0
18;32;36.54240890371123;56.54240890371123;42;11;20.0;20.0
1;32;37.0;57.0;48;1;21.0;20.0
9;37;37.0;43.0;55;1;8.0;6.0
5;37;39.0;52.0;54;2;14.0;13.0
6;36;39.0;42.0;53;28;4.0;3.0
6;40;42.0;43.0;60;12;2.0;1.0
16;38;42.83507022194761;53.83507022194761;58;18;10.0;11.0
9;35;43.0;50.0;50;1;8.0;7.0
13;40;43.0;65.0;61;29;21.0;22.0
6;40;43.0;67.0;62;17;25.0;24.0
3;44;44.0;55.0;69;21;13.0;11.0
10;44;44.0;63.0;71;8;21.0;19.0
2;39;48.0;67.0;59;17;18.0;19.0
8;47;48.184290053069795;69.18429005306979;76;14;19.0;20.999999999999993
0;42;49.0;57.0;64;20;7.0;8.0
9;44;50.0;79.0;66;4;27.0;29.0
12;40;50.0;78.0;63;9;26.0;28.0
19;51;52.0;68.0;83;26;15.0;16.0
5;46;52.0;66.0;73;2;14.0;14.0
16;53;53.83507022194761;67.8350702219476;88;15;17.0;13.999999999999993
3;55;55.0;72.0;90;19;19.0;17.0
17;55;56.0;61.0;91;22;7.0;5.0
18;38;56.54240890371123;69.54240890371122;57;9;13.0;12.999999999999993
11;47;57.0;61.0;80;16;5.0;4.0
1;51;57.0;69.0;86;16;10.0;12.0
0;56;57.0;84.0;98;11;27.0;27.0
7;59;60.0;74.0;104;22;13.0;14.0
17;57;61.0;74.0;100;2;12.0;13.0
11;55;61.0;83.0;92;27;22.0;22.0
14;59;61.0;64.0;107;15;2.0;3.0
15;44;63.0;65.0;68;23;3.0;2.0
10;47;63.0;78.0;81;2;14.0;15.0
14;64;64.0;79.0;123;16;15.0;15.0
15;63;65.0;83.0;115;26;23.0;18.0
13;47;65.0;72.0;75;24;7.0;7.0
5;47;66.0;69.0;82;5;2.0;3.0
2;55;67.0;69.0;97;10;4.0;2.0
6;56;67.0;96.0;99;22;28.0;29.0
16;53;67.8350702219476;71.8350702219476;87;23;2.0;4.0
1;63;69.0;88.0;114;27;19.0;19.0
2;63;69.0;94.0;116;6;26.0;25.0
5;55;69.0;78.0;95;4;9.0;9.0
8;57;69.18429005306979;88.18429005306979;101;14;19.0;19.0
18;47;69.54240890371122;84.54240890371122;78;3;15.0;15.0
16;47;71.8350702219476;88.8350702219476;77;29;17.0;17.0
3;44;72.0;73.0;67;3;1.0;1.0
13;72;72.0;79.0;128;14;8.0;7.0
3;55;73.0;98.0;94;23;25.0;25.0
17;57;74.0;93.0;103;19;21.0;19.0
7;64;74.0;98.0;125;2;23.0;24.0
12;68;78.0;105.0;126;6;28.0;27.0
5;78;78.0;88.0;141;14;11.0;10.0
10;78;78.0;97.0;137;17;20.0;19.0
9;78;79.0;99.0;139;3;20.0;20.0
14;74;79.0;82.0;134;6;3.0;3.0
13;68;79.0;90.0;127;13;11.0;11.0
19;78;80.71469603634463;90.71469603634463;140;15;10.0;10.0
4;81;81.77475565471636;107.77475565471636;149;9;26.0;26.0
14;82;82.0;99.0;155;28;15.0;17.0
11;72;83.0;105.0;130;10;21.0;22.0
15;64;83.0;91.0;121;15;7.0;8.0
0;81;84.0;102.0;147;28;19.0;18.0
18;61;84.54240890371122;89.54240890371122;113;2;5.0;5.0
1;88;88.0;112.0;156;2;24.0;24.0
5;82;88.0;113.0;153;12;27.0;25.0
8;88;88.18429005306979;89.18429005306979;160;25;2.0;1.0
16;79;88.8350702219476;109.8350702219476;144;10;20.0;21.0
8;88;89.18429005306979;108.18429005306979;159;28;19.0;19.0
18;64;89.54240890371122;104.54240890371122;119;28;17.0;15.0
13;72;90.0;99.0;129;23;8.0;9.0
19;79;90.71469603634463;95.71469603634463;145;12;2.0;5.0
15;89;91.0;93.0;166;1;3.0;2.0
17;81;93.0;96.0;150;7;1.0;3.0
15;88;93.0;119.0;162;5;26.0;26.0
19;82;95.71469603634463;119.71469603634463;154;10;21.0;24.0
17;88;96.0;99.0;158;23;4.0;3.0
6;60;96.0;108.0;111;20;12.0;12.0
10;63;97.0;118.0;117;8;21.0;21.0
3;74;98.0;123.0;133;18;26.0;25.0
7;88;98.0;101.0;163;4;1.0;3.0
