server;arrival;start;end;client;class;estimated_proc_time;real_proc_time
0;1;1.0;25.0;1;25;24.0;24.0
1;1;1.0;28.0;0;5;27.0;27.0
5;2;2.0;30.0;6;17;28.0;28.0
6;2;2.0;6.0;2;27;5.0;4.0
8;2;2.0;12.0;3;20;11.0;10.0
9;7;7.0;19.0;8;20;11.0;12.0
10;7;7.0;29.0;7;12;21.0;22.0
11;8;8.0;18.0;9;27;11.0;10.0
3;9;9.0;36.0;12;23;26.0;27.0
7;9;9.0;17.0;10;5;6.0;8.0
12;9;9.0;33.0;11;23;24.0;24.0
13;11;11.0;20.0;15;3;10.0;9.0
14;11;11.0;22.0;14;9;11.0;11.0
15;11;11.0;33.0;13;8;21.0;22.0
16;11;11.0;27.0;16;13;17.0;16.0
17;12;12.0;37.0;18;22;25.0;25.0
18;12;12.0;34.0;17;11;22.0;22.0
19;13;13.0;37.0;19;27;24.0;24.0
6;14;14.0;21.0;20;5;9.0;7.0
8;14;14.0;42.0;21;22;28.0;28.0
4;14;14.07748100020852;24.077481000208522;23;10;10.0;10.000000000000002
7;16;17.0;25.0;29;24;9.0;8.0
11;16;18.0;29.0;25;24;10.0;11.0
9;18;19.0;27.0;33;22;5.0;8.0
13;16;20.0;48.0;24;24;29.0;28.0
6;16;21.0;27.0;31;6;4.0;6.0
14;21;22.0;39.0;38;26;21.0;17.0
4;16;24.077481000208522;34.07748100020852;32;10;10.0;10.0
7;23;25.0;34.0;39;18;11.0;9.0
0;16;25.0;33.0;28;15;8.0;8.0
2;24;25.480277210650172;41.48027721065017;42;27;14.0;16.0
16;23;27.0;52.0;40;21;26.0;25.0
6;27;27.0;52.0;48;28;25.0;25.0
9;23;27.0;33.0;41;22;5.0;6.0
1;21;28.0;38.0;37;27;9.0;10.0
11;27;29.0;53.0;45;12;25.0;24.0
10;27;29.0;34.0;43;4;2.0;5.0
5;27;30.0;50.0;47;27;19.0;20.0
15;16;33.0;55.0;26;2;17.0;22.0
12;16;33.0;37.0;27;22;5.0;4.0
9;30;33.0;59.0;50;23;25.0;26.0
0;21;33.0;58.0;36;3;28.0;25.0
18;32;34.0;52.0;52;28;14.0;18.0
7;32;34.0;57.0;53;6;24.0;23.0
10;34;34.0;51.0;54;5;17.0;17.0
4;19;34.07748100020852;36.07748100020852;35;8;4.0;2.0
3;35;36.0;59.0;55;20;23.0;23.0
