server;arrival;start;end;client;class;estimated_proc_time;real_proc_time
2;2;2.0;12.0;0;6;10.0;10.0
3;2;2.0;21.0;1;23;20.0;19.0
4;3;3.0;11.0;2;22;8.0;8.0
5;3;3.0;32.0;3;3;28.0;29.0
6;5;5.0;16.0;5;8;9.0;11.0
7;5;5.0;34.0;4;18;29.0;29.0
8;6;6.0;19.0;6;5;13.0;13.0
9;6;6.0;26.0;12;0;20.0;20.0
11;6;6.0;21.0;13;5;16.0;15.0
13;6;6.0;30.0;16;8;24.0;24.0
14;6;6.0;18.0;14;20;10.0;12.0
15;6;6.0;10.0;7;2;5.0;4.0
16;6;6.0;17.0;9;4;13.0;11.0
17;6;6.0;19.0;10;28;12.0;13.0
18;6;6.0;14.0;8;1;8.0;8.0
19;6;6.0;21.0;15;13;16.0;15.0
15;9;10.0;30.0;18;28;20.0;20.0
10;10;10.632650936544925;27.632650936544927;20;6;17.0;17.0
4;9;11.0;35.0;17;23;26.0;24.0
2;10;12.0;31.0;21;21;21.0;19.0
12;13;13.0;22.0;22;22;7.0;9.0
18;15;15.0;31.0;23;24;17.0;16.0
6;15;16.0;26.0;24;25;9.0;10.0
0;17;17.0;32.0;26;11;17.0;15.0
1;17;17.0;19.0;25;25;5.0;2.0
16;18;18.0;45.0;28;16;26.0;27.0
14;18;18.0;23.0;27;1;4.0;5.0
1;21;21.0;44.0;37;17;23.0;23.0
8;21;21.0;23.0;38;2;1.0;2.0
17;21;21.0;40.0;30;13;20.0;19.0
19;21;21.0;35.0;29;13;16.0;14.0
11;21;21.0;26.0;34;14;3.0;5.0
3;21;21.0;32.0;43;3;10.0;11.0
12;21;22.0;29.0;36;27;7.0;7.0
8;21;23.0;37.0;39;28;14.0;14.0
14;21;23.0;39.0;44;21;16.0;16.0
9;25;26.0;49.0;49;27;22.0;23.0
11;26;26.0;27.0;52;25;1.0;1.0
6;21;26.0;40.0;46;24;15.0;14.0
11;27;27.0;50.0;58;19;23.0;23.0
10;27;27.632650936544927;37.63265093654493;53;27;7.0;10.0
12;27;29.0;51.0;55;19;21.0;22.0
13;26;30.0;35.0;51;14;5.0;5.0
15;27;30.0;53.0;57;9;23.0;23.0
18;27;31.0;60.0;56;18;29.0;29.0
2;26;31.0;50.0;50;15;17.0;19.0
0;21;32.0;54.0;35;28;23.0;22.0
5;30;32.0;49.0;59;9;20.0;17.0
3;21;32.0;52.0;31;23;20.0;20.0
19;30;35.0;57.0;60;5;20.0;22.0
13;21;35.0;47.0;33;25;13.0;12.0
4;21;35.0;65.0;32;16;28.0;30.0
8;33;37.0;47.0;62;6;11.0;10.0
10;37;37.63265093654493;52.63265093654493;64;29;17.0;15.0
14;38;39.0;68.0;68;23;29.0;29.0
7;37;39.128546611569625;63.128546611569625;65;16;25.0;24.0
17;38;40.0;43.0;67;20;4.0;3.0
6;37;40.0;59.0;66;22;18.0;19.0
17;25;43.0;58.0;48;8;15.0;15.0
1;43;44.0;59.0;69;24;14.0;15.0
16;43;45.0;70.0;71;11;27.0;25.0
8;30;47.0;50.0;61;22;7.0;3.0
13;27;47.0;53.0;54;2;6.0;6.0
9;25;49.0;72.0;47;15;23.0;23.0
5;37;49.0;79.0;63;3;28.0;30.0
8;50;50.0;77.0;76;12;26.0;27.0
11;50;50.0;58.0;77;22;9.0;8.0
2;50;50.0;76.0;75;20;27.0;26.0
12;51;51.0;62.0;81;17;12.0;11.0
3;51;52.0;70.0;80;6;21.0;18.0
10;51;52.63265093654493;64.63265093654493;84;7;13.0;12.000000000000007
13;51;53.0;82.0;82;17;27.0;29.0
15;48;53.0;79.0;74;12;25.0;26.0
0;54;54.0;73.0;89;14;19.0;19.0
19;57;57.0;68.0;92;7;11.0;11.0
17;53;58.0;82.0;86;10;22.0;24.0
11;51;58.0;77.0;79;20;19.0;19.0
1;53;59.0;88.0;87;0;29.0;29.0
6;53;59.0;74.0;85;7;17.0;15.0
