server;arrival;start;end;client;class;estimated_proc_time;real_proc_time
0;0;0.0;16.0;4;8;14.0;16.0
1;0;0.0;12.0;1;5;14.0;12.0
2;0;0.0;15.0;3;5;15.0;15.0
3;0;0.0;26.0;2;5;26.0;26.0
8;2;2.0;31.0;6;15;29.0;29.0
9;2;2.0;20.0;5;11;18.0;18.0
11;4;4.0;13.0;7;0;10.0;9.0
12;5;5.0;30.0;10;14;25.0;25.0
16;5;5.0;6.0;11;18;1.0;1.0
17;5;5.0;29.0;9;24;24.0;24.0
18;5;5.0;28.0;8;5;25.0;23.0
4;8;8.0;33.0;13;19;28.0;25.0
15;8;8.0;9.0;14;26;1.0;1.0
16;8;8.0;15.0;12;8;7.0;7.0
15;9;9.0;24.0;19;25;15.0;15.0
1;12;12.0;16.0;27;7;5.0;4.0
11;10;13.0;42.0;26;10;29.0;29.0
7;10;13.936474395176534;34.93647439517653;22;11;23.0;21.0
13;10;14.145876807190074;24.145876807190074;25;4;9.0;10.0
6;10;14.522881470252779;24.522881470252777;24;28;9.0;9.999999999999998
16;12;15.0;36.0;30;20;19.0;21.0
2;8;15.0;29.0;17;25;15.0;14.0
19;15;15.981267875504962;26.98126787550496;32;14;12.0;11.0
0;15;16.0;39.0;33;0;22.0;23.0
1;10;16.0;31.0;23;20;16.0;15.0
5;12;17.474852472985447;44.47485247298545;29;8;25.0;27.0
9;20;20.0;29.0;40;21;9.0;9.0
14;8;20.688887882317573;32.68888788231757;16;6;12.0;12.0
10;17;20.95847690921278;40.95847690921278;34;16;20.0;19.999999999999996
15;9;24.0;45.0;20;23;22.0;21.0
13;22;24.145876807190074;30.145876807190074;43;24;5.0;6.0
6;17;24.522881470252777;36.52288147025278;36;12;15.0;12.0
3;9;26.0;33.0;21;13;6.0;7.0
19;25;26.98126787550496;33.98126787550496;44;18;10.0;7.0
18;8;28.0;37.0;15;15;11.0;9.0
17;19;29.0;37.0;39;3;7.0;8.0
9;17;29.0;42.0;37;19;11.0;13.0
2;17;29.0;46.0;35;18;15.0;17.0
13;22;30.145876807190074;49.14587680719008;42;2;19.0;19.000000000000004
8;17;31.0;60.0;38;15;29.0;29.0
1;25;31.0;32.0;46;21;1.0;1.0
1;31;32.0;49.0;52;18;14.0;17.0
14;31;32.68888788231757;46.68888788231757;53;7;11.0;14.0
4;27;33.0;41.0;47;11;9.0;8.0
3;30;33.0;34.0;51;10;1.0;1.0
19;33;33.98126787550496;46.98126787550496;55;28;13.0;13.0
3;31;34.0;38.0;54;15;2.0;4.0
7;33;34.93647439517653;51.93647439517653;56;19;15.0;17.0
16;35;36.0;58.0;58;13;22.0;22.0
6;30;36.52288147025278;40.52288147025278;50;17;4.0;4.0
17;36;37.0;53.0;60;20;18.0;16.0
18;22;37.0;50.0;41;22;14.0;13.0
3;38;38.0;45.0;65;19;8.0;7.0
0;38;39.0;41.0;62;5;1.0;2.0
6;38;40.52288147025278;64.52288147025277;61;1;24.0;23.999999999999993
10;40;40.95847690921278;45.95847690921278;68;14;6.0;5.0
0;38;41.0;45.0;63;3;5.0;4.0
11;35;42.0;63.0;57;3;22.0;21.0
9;42;42.0;47.0;73;23;3.0;5.0
5;44;44.47485247298545;51.47485247298545;75;24;8.0;7.0
15;40;45.0;63.0;67;25;15.0;18.0
0;42;45.0;50.0;74;24;5.0;5.0
3;44;45.0;55.0;76;8;10.0;10.0
10;40;45.95847690921278;57.95847690921278;71;23;11.0;12.0
2;46;46.0;54.0;83;0;8.0;8.0
14;45;46.68888788231757;75.68888788231757;77;21;26.0;29.0
19;45;46.98126787550496;53.98126787550496;79;12;7.0;7.0
9;46;47.0;64.0;81;25;18.0;17.0
1;46;49.0;73.0;84;3;24.0;24.0
13;41;49.14587680719008;77.14587680719008;72;20;28.0;28.0
12;38;49.68841477936392;55.68841477936392;64;20;7.0;6.0
18;48;50.0;74.0;93;5;25.0;24.0
5;46;51.47485247298545;61.47485247298545;85;4;9.0;10.0
7;49;51.93647439517653;61.93647439517653;95;25;11.0;10.0
17;45;53.0;82.0;78;25;29.0;29.0
19;48;53.98126787550496;60.98126787550496;92;12;7.0;7.0
2;51;54.0;78.0;99;14;25.0;24.0
3;53;55.0;56.0;103;18;1.0;1.0
12;53;55.68841477936392;77.68841477936391;104;0;24.0;21.999999999999993
3;52;56.0;59.0;101;25;3.0;3.0
10;47;57.95847690921278;68.95847690921278;86;3;11.0;11.0
16;47;58.0;81.0;87;1;24.0;23.0
3;53;59.0;79.0;106;4;19.0;20.0
8;48;60.0;80.0;94;3;20.0;20.0
19;55;60.98126787550496;71.98126787550495;108;17;7.0;10.999999999999993
5;48;61.47485247298545;64.47485247298545;89;21;3.0;3.0
7;55;61.93647439517653;68.93647439517653;110;23;10.0;7.0
15;49;63.0;77.0;98;18;16.0;14.0
9;63;64.0;89.0;122;18;24.0;25.0
5;40;64.47485247298545;84.47485247298545;69;14;18.0;20.0
6;63;64.52288147025277;82.52288147025277;120;29;19.0;18.0
0;63;65.39181817666635;73.39181817666635;118;21;9.0;8.0
7;63;68.93647439517653;85.93647439517653;113;3;15.0;17.0
10;55;68.95847690921278;80.95847690921278;109;15;14.0;12.0
19;63;71.98126787550495;78.98126787550495;115;17;7.0;7.0
1;46;73.0;80.0;80;22;9.0;7.0
0;72;73.39181817666635;74.39181817666635;136;5;1.0;1.0
18;67;74.0;90.0;131;2;15.0;16.0
0;67;74.39181817666635;104.39181817666635;129;9;27.0;30.0
14;67;75.68888788231757;88.68888788231757;130;6;12.0;13.0
15;52;77.0;82.0;100;24;4.0;5.0
13;63;77.14587680719008;83.14587680719008;119;25;7.0;6.0
12;66;77.68841477936391;98.68841477936391;126;0;24.0;21.0
2;68;78.0;90.0;133;20;14.0;12.0
3;79;79.0;88.0;152;8;10.0;9.0
8;74;80.0;96.0;142;13;16.0;16.0
1;74;80.0;96.0;141;23;16.0;16.0
10;78;80.95847690921278;94.95847690921278;150;9;13.0;14.0
15;73;82.0;92.0;137;19;11.0;10.0
17;63;82.0;83.0;124;13;1.0;1.0
6;63;82.52288147025277;85.52288147025277;125;20;3.0;3.0
17;66;83.0;110.0;127;10;24.0;27.0
13;53;83.14587680719008;89.14587680719008;102;4;9.0;6.0
5;49;84.47485247298545;89.47485247298545;96;12;5.0;5.0
4;63;85.1314372127874;98.1314372127874;117;0;14.0;13.0
6;85;85.52288147025277;99.52288147025277;160;23;16.0;14.0
11;85;85.54392899910601;105.54392899910601;166;4;20.0;20.0
7;85;85.93647439517653;100.93647439517653;163;21;16.0;15.0
3;53;88.0;100.0;105;20;14.0;12.0
14;82;88.68888788231757;92.68888788231757;155;29;2.0;4.0
9;89;89.0;90.0;174;23;3.0;1.0
16;68;89.00564579100157;118.00564579100157;134;6;28.0;29.0
13;76;89.14587680719008;105.14587680719008;145;29;19.0;16.0
5;67;89.47485247298545;115.47485247298545;132;13;26.0;26.0
18;48;90.0;113.0;91;10;23.0;23.0
9;76;90.0;108.0;147;25;18.0;18.0
2;67;90.0;109.0;128;24;19.0;19.0
15;70;92.0;111.0;135;4;18.0;19.0
14;88;92.68888788231757;101.68888788231757;171;1;8.0;9.0
10;91;94.95847690921278;96.95847690921278;178;10;1.0;2.0
8;74;96.0;115.0;144;26;20.0;19.0
1;89;96.0;116.0;175;27;21.0;20.0
10;85;96.95847690921278;109.95847690921278;168;11;11.0;13.0
4;83;98.1314372127874;112.1314372127874;156;4;14.0;14.0
12;98;98.68841477936391;127.68841477936391;186;21;29.0;29.0
6;85;99.52288147025277;104.52288147025277;164;20;3.0;5.0
3;85;100.0;101.0;165;25;3.0;1.0
7;74;100.93647439517653;129.93647439517653;140;9;29.0;29.0
3;81;101.0;113.0;153;1;12.0;12.0
14;96;101.68888788231757;125.68888788231757;184;21;26.0;24.0
0;104;104.39181817666635;109.39181817666635;193;7;5.0;5.0
6;88;104.52288147025277;130.52288147025277;170;27;28.0;26.0
13;85;105.14587680719008;108.14587680719008;162;26;4.0;3.0
11;85;105.54392899910601;113.54392899910601;161;0;10.0;8.0
9;107;108.0;123.0;199;25;18.0;15.0
13;104;108.14587680719008;127.14587680719008;195;8;19.0;19.0
2;63;109.0;116.0;123;19;7.0;7.0
0;78;109.39181817666635;122.39181817666635;151;6;15.0;13.0
10;91;109.95847690921278;114.95847690921278;176;24;5.0;5.0
17;85;110.0;118.0;169;3;7.0;8.0
15;101;111.0;126.0;191;20;13.0;15.0
4;95;112.1314372127874;114.1314372127874;183;14;4.0;2.0
18;91;113.0;137.0;177;20;26.0;24.0
3;99;113.0;117.0;188;11;5.0;4.0
11;47;113.54392899910601;135.54392899910601;88;3;22.0;22.0
4;112;114.1314372127874;117.1314372127874;201;14;4.0;3.0
10;113;114.95847690921278;142.95847690921278;202;5;26.0;28.0
8;105;115.0;132.0;197;13;16.0;17.0
5;92;115.47485247298545;116.47485247298545;181;11;1.0;1.0
1;115;116.0;123.0;203;4;7.0;7.0
2;81;116.0;131.0;154;25;15.0;15.0
5;107;116.47485247298545;122.47485247298545;200;23;7.0;6.0
3;101;117.0;119.0;190;29;1.0;2.0
4;76;117.1314372127874;140.1314372127874;149;12;23.0;23.0
