server;arrival;start;end;client;class;estimated_proc_time;real_proc_time
0;2;2.0;25.0;0;1;22.0;23.0
1;3;3.0;19.0;1;24;12.0;16.0
2;5;5.0;17.0;5;28;13.0;12.0
3;5;5.0;27.0;3;2;22.0;22.0
4;5;5.0;14.0;2;2;8.0;9.0
6;5;5.0;8.0;4;17;5.0;3.0
8;6;6.0;15.0;7;12;8.0;9.0
9;6;6.0;28.0;8;13;24.0;22.0
10;8;8.0;17.0;9;19;8.0;9.0
12;8;8.0;34.0;10;24;27.0;26.0
13;8;8.0;21.0;12;12;12.0;13.0
14;8;8.0;16.0;11;2;6.0;8.0
16;9;9.0;32.0;13;12;24.0;23.0
17;11;11.0;28.0;14;29;17.0;17.0
7;15;15.0;25.0;20;29;11.0;10.0
15;15;15.0;23.0;17;5;9.0;8.0
18;15;15.0;31.0;16;2;14.0;16.0
19;15;15.0;19.0;18;27;4.0;4.0
6;15;15.0;19.0;19;20;4.0;4.0
14;16;16.0;39.0;24;28;23.0;23.0
8;16;16.0;45.0;23;1;28.0;29.0
4;16;16.0;38.0;22;12;21.0;22.0
10;16;17.0;46.0;21;24;29.0;29.0
2;17;17.0;38.0;25;6;22.0;21.0
19;19;19.0;44.0;34;4;27.0;25.0
6;19;19.0;30.0;29;18;11.0;11.0
1;19;19.0;20.0;31;19;3.0;1.0
11;19;19.05026649249681;29.05026649249681;28;7;10.0;10.0
5;19;19.46237323431685;26.46237323431685;26;20;9.0;7.0
1;19;20.0;45.0;30;22;27.0;25.0
13;19;21.0;27.0;32;4;7.0;6.0
15;19;23.0;53.0;35;20;29.0;30.0
7;19;25.0;50.0;37;23;26.0;25.0
0;21;25.0;42.0;38;7;17.0;17.0
5;19;26.46237323431685;50.46237323431685;27;5;20.0;24.0
13;25;27.0;36.0;46;29;9.0;9.0
3;25;27.0;37.0;43;19;7.0;10.0
17;19;28.0;39.0;33;0;11.0;11.0
9;25;28.0;49.0;45;9;21.0;21.0
11;26;29.05026649249681;59.05026649249681;50;18;29.0;30.0
6;26;30.0;39.0;52;27;9.0;9.0
16;19;32.0;42.0;36;10;10.0;10.0
12;26;34.0;57.0;51;5;24.0;23.0
13;26;36.0;46.0;48;14;9.0;10.0
4;21;38.0;39.0;39;19;1.0;1.0
2;32;38.0;64.0;57;20;24.0;26.0
6;32;39.0;48.0;58;13;9.0;9.0
17;28;39.0;49.0;54;23;8.0;10.0
14;22;39.0;58.0;42;17;20.0;19.0
4;26;39.0;65.0;53;16;26.0;26.0
16;32;42.0;48.0;55;13;6.0;6.0
0;41;42.0;64.0;76;8;22.0;22.0
19;36;44.0;48.0;69;17;5.0;4.0
8;36;45.0;49.0;64;24;6.0;4.0
18;34;45.02827841001303;54.02827841001303;63;4;11.0;9.0
10;45;46.0;74.0;82;25;26.0;28.0
13;26;46.0;52.0;49;11;7.0;6.0
19;37;48.0;68.0;70;22;19.0;20.0
6;36;48.0;65.0;65;8;17.0;17.0
16;47;48.0;74.0;84;17;24.0;26.0
17;47;49.0;69.0;85;13;19.0;20.0
8;41;49.0;73.0;75;11;22.0;24.0
9;34;49.0;76.0;62;24;28.0;27.0
7;49;50.0;67.0;89;18;12.0;17.0
5;32;50.46237323431685;68.46237323431686;60;3;19.0;18.000000000000007
13;22;52.0;79.0;41;2;25.0;27.0
15;25;53.0;74.0;44;21;20.0;21.0
3;42;55.303195961155836;62.303195961155836;79;11;7.0;7.0
14;53;58.0;63.0;93;2;6.0;5.0
1;53;58.379317793872275;88.37931779387227;95;18;29.0;30.0
11;49;59.05026649249681;75.0502664924968;88;26;15.0;15.999999999999993
18;59;60.24654473757115;82.24654473757116;104;11;23.0;22.000000000000007
3;32;62.303195961155836;67.30319596115584;59;22;4.0;5.0
14;63;63.0;72.0;112;6;9.0;9.0
2;51;64.0;65.0;90;19;2.0;1.0
0;34;64.0;82.0;61;29;20.0;18.0
6;51;65.0;91.0;91;19;22.0;26.0
4;45;65.0;66.0;81;19;1.0;1.0
2;61;65.0;75.0;109;18;8.0;10.0
4;66;66.0;79.0;123;4;14.0;13.0
7;51;67.0;94.0;92;15;28.0;27.0
3;66;67.30319596115584;82.30319596115584;116;25;16.0;15.0
19;59;68.0;76.0;106;1;6.0;8.0
5;55;68.46237323431686;84.46237323431686;96;13;16.0;16.0
17;40;69.0;80.0;74;0;11.0;11.0
12;61;69.23762095071243;85.23762095071243;110;15;17.0;16.0
14;57;72.0;78.0;102;2;6.0;6.0
8;73;73.0;86.0;134;7;11.0;13.0
15;43;74.0;99.0;80;25;25.0;25.0
16;67;74.0;98.0;129;6;25.0;24.0
10;59;74.0;81.0;105;19;8.0;7.0
2;73;75.0;82.0;138;17;8.0;7.0
11;36;75.0502664924968;99.0502664924968;67;15;26.0;24.0
19;76;76.0;86.0;144;12;9.0;10.0
9;66;76.0;100.0;122;5;25.0;24.0
14;66;78.0;101.0;124;10;24.0;23.0
13;73;79.0;92.0;137;14;9.0;13.0
4;76;79.0;90.0;142;7;13.0;11.0
17;61;80.0;101.0;108;27;23.0;21.0
2;76;82.0;109.0;145;15;27.0;27.0
0;66;82.0;94.0;128;6;11.0;12.0
18;47;82.24654473757116;95.24654473757116;83;5;10.0;13.0
3;66;82.30319596115584;106.30319596115584;127;13;25.0;24.0
5;73;84.46237323431686;89.46237323431686;133;14;8.0;5.0
12;80;85.23762095071243;98.23762095071243;159;12;13.0;13.0
19;40;86.0;87.0;71;3;1.0;1.0
8;67;86.0;99.0;130;21;12.0;13.0
19;80;87.0;111.0;157;29;24.0;24.0
1;40;88.37931779387227;114.37931779387227;72;15;23.0;26.0
